   #Energy      xx              yy   
  0.66447000E+01 -0.17729287E+00 -0.17729287E+00
  0.67062000E+01 -0.17056989E+00 -0.17056989E+00
  0.67677000E+01 -0.67416022E-01 -0.67416022E-01
  0.68293000E+01  0.29289016E-01  0.29289016E-01
  0.68908000E+01  0.14748663E-01  0.14748663E-01
  0.69523000E+01 -0.60472173E-01 -0.60472173E-01
  0.70138000E+01 -0.10649437E+00 -0.10649437E+00
  0.70754000E+01 -0.88926952E-01 -0.88926952E-01
  0.71369000E+01  0.84990954E-02  0.84990954E-02
  0.71984000E+01  0.14098014E+00  0.14098014E+00
  0.72599000E+01  0.24371167E+00  0.24371167E+00
  0.73215000E+01  0.31435275E+00  0.31435275E+00
  0.73830000E+01  0.36249870E+00  0.36249870E+00
  0.74445000E+01  0.39864376E+00  0.39864376E+00
  0.75060000E+01  0.41987470E+00  0.41987470E+00
  0.75676000E+01  0.37850407E+00  0.37850407E+00
  0.76291000E+01  0.24806388E+00  0.24806388E+00
  0.76906000E+01  0.12054538E+00  0.12054538E+00
  0.77521000E+01  0.12057370E+00  0.12057370E+00
  0.78137000E+01  0.25632964E+00  0.25632964E+00
  0.78752000E+01  0.39686736E+00  0.39686736E+00
  0.79367000E+01  0.46031605E+00  0.46031605E+00
  0.79982000E+01  0.55552687E+00  0.55552687E+00
  0.80598000E+01  0.71739657E+00  0.71739657E+00
  0.81213000E+01  0.82912517E+00  0.82912517E+00
  0.81828000E+01  0.87201205E+00  0.87201205E+00
  0.82443000E+01  0.88214808E+00  0.88214808E+00
  0.83059000E+01  0.86120433E+00  0.86120433E+00
  0.83674000E+01  0.81425770E+00  0.81425770E+00
  0.84289000E+01  0.75214890E+00  0.75214890E+00
  0.84904000E+01  0.67408499E+00  0.67408499E+00
  0.85520000E+01  0.59289087E+00  0.59289087E+00
  0.86135000E+01  0.55258972E+00  0.55258972E+00
  0.86750000E+01  0.54027121E+00  0.54027121E+00
  0.87365000E+01  0.50522694E+00  0.50522694E+00
  0.87981000E+01  0.44996026E+00  0.44996026E+00
  0.88596000E+01  0.38032066E+00  0.38032066E+00
  0.89211000E+01  0.29682146E+00  0.29682146E+00
  0.89826000E+01  0.22319308E+00  0.22319308E+00
  0.90442000E+01  0.15173214E+00  0.15173214E+00
  0.91057000E+01  0.67260083E-01  0.67260083E-01
  0.91672000E+01  0.11064438E-02  0.11064438E-02
  0.92287000E+01 -0.22574362E-01 -0.22574362E-01
  0.92903000E+01 -0.35208865E-01 -0.35208865E-01
  0.93518000E+01 -0.54780749E-01 -0.54780749E-01
  0.94133000E+01 -0.46430542E-01 -0.46430542E-01
  0.94748000E+01  0.15247598E-03  0.15247598E-03
  0.95364000E+01  0.47267926E-01  0.47267926E-01
  0.95979000E+01  0.71513591E-01  0.71513591E-01
  0.96594000E+01  0.82775371E-01  0.82775371E-01
  0.97209000E+01  0.76262751E-01  0.76262751E-01
  0.97825000E+01  0.58484401E-01  0.58484401E-01
  0.98440000E+01  0.33505288E-01  0.33505288E-01
  0.99055000E+01 -0.31881428E-02 -0.31881428E-02
  0.99670000E+01 -0.22936749E-01 -0.22936749E-01
  0.10028600E+02 -0.33084574E-02 -0.33084574E-02
  0.10090100E+02  0.38077611E-01  0.38077611E-01
  0.10151600E+02  0.74168881E-01  0.74168881E-01
  0.10213100E+02  0.10798274E+00  0.10798274E+00
  0.10274700E+02  0.12996400E+00  0.12996400E+00
  0.10336200E+02  0.11119716E+00  0.11119716E+00
  0.10397700E+02  0.64839605E-01  0.64839605E-01
  0.10459200E+02  0.14391165E-01  0.14391165E-01
  0.10520800E+02 -0.27597373E-01 -0.27597373E-01
  0.10582300E+02 -0.43681628E-01 -0.43681628E-01
  0.10643800E+02 -0.39481988E-01 -0.39481988E-01
  0.10705300E+02 -0.25669445E-01 -0.25669445E-01
  0.10766900E+02 -0.27636481E-01 -0.27636481E-01
  0.10828400E+02 -0.70487838E-01 -0.70487838E-01
