   #Energy      xx              yy   
  0.58684000E+01 -0.63108952E+00 -0.63108952E+00
  0.59223000E+01 -0.78038671E+00 -0.78038671E+00
  0.59761000E+01 -0.83375565E+00 -0.83375565E+00
  0.60300000E+01 -0.77656947E+00 -0.77656947E+00
  0.60838000E+01 -0.65826963E+00 -0.65826963E+00
  0.61376000E+01 -0.55554178E+00 -0.55554178E+00
  0.61915000E+01 -0.53619743E+00 -0.53619743E+00
  0.62453000E+01 -0.58092567E+00 -0.58092567E+00
  0.62992000E+01 -0.55952009E+00 -0.55952009E+00
  0.63530000E+01 -0.36126581E+00 -0.36126581E+00
  0.64068000E+01 -0.12445026E+00 -0.12445026E+00
  0.64607000E+01 -0.57209687E-01 -0.57209687E-01
  0.65145000E+01 -0.10477891E+00 -0.10477891E+00
  0.65684000E+01 -0.12864681E+00 -0.12864681E+00
  0.66222000E+01 -0.14020237E+00 -0.14020237E+00
  0.66760000E+01 -0.20491816E+00 -0.20491816E+00
  0.67299000E+01 -0.31492435E+00 -0.31492435E+00
  0.67837000E+01 -0.40279572E+00 -0.40279572E+00
  0.68375000E+01 -0.41386122E+00 -0.41386122E+00
  0.68914000E+01 -0.34849993E+00 -0.34849993E+00
  0.69452000E+01 -0.25567206E+00 -0.25567206E+00
  0.69991000E+01 -0.17404334E+00 -0.17404334E+00
  0.70529000E+01 -0.14347303E+00 -0.14347303E+00
  0.71067000E+01 -0.20686819E+00 -0.20686819E+00
  0.71606000E+01 -0.36620610E+00 -0.36620610E+00
  0.72144000E+01 -0.58180648E+00 -0.58180648E+00
  0.72683000E+01 -0.70966788E+00 -0.70966788E+00
  0.73221000E+01 -0.59349806E+00 -0.59349806E+00
  0.73759000E+01 -0.30002789E+00 -0.30002789E+00
  0.74298000E+01  0.31220865E-01  0.31220865E-01
  0.74836000E+01  0.38850826E+00  0.38850826E+00
  0.75375000E+01  0.73128011E+00  0.73128011E+00
  0.75913000E+01  0.96010182E+00  0.96010182E+00
  0.76451000E+01  0.10649445E+01  0.10649445E+01
  0.76990000E+01  0.11167663E+01  0.11167663E+01
  0.77528000E+01  0.11341814E+01  0.11341814E+01
  0.78067000E+01  0.10801651E+01  0.10801651E+01
  0.78605000E+01  0.95529639E+00  0.95529639E+00
  0.79143000E+01  0.81523732E+00  0.81523732E+00
  0.79682000E+01  0.73958287E+00  0.73958287E+00
  0.80220000E+01  0.79920882E+00  0.79920882E+00
  0.80758000E+01  0.95493783E+00  0.95493783E+00
  0.81297000E+01  0.10923963E+01  0.10923963E+01
  0.81835000E+01  0.11591127E+01  0.11591127E+01
  0.82374000E+01  0.11359124E+01  0.11359124E+01
  0.82912000E+01  0.10338037E+01  0.10338037E+01
  0.83450000E+01  0.91804732E+00  0.91804732E+00
  0.83989000E+01  0.82161334E+00  0.82161334E+00
  0.84527000E+01  0.73991545E+00  0.73991545E+00
  0.85066000E+01  0.69080965E+00  0.69080965E+00
  0.85604000E+01  0.67167987E+00  0.67167987E+00
  0.86142000E+01  0.62527970E+00  0.62527970E+00
  0.86681000E+01  0.52438494E+00  0.52438494E+00
  0.87219000E+01  0.42056704E+00  0.42056704E+00
  0.87758000E+01  0.37173621E+00  0.37173621E+00
  0.88296000E+01  0.35773816E+00  0.35773816E+00
  0.88834000E+01  0.32230281E+00  0.32230281E+00
  0.89373000E+01  0.25763684E+00  0.25763684E+00
  0.89911000E+01  0.17899226E+00  0.17899226E+00
  0.90449000E+01  0.87374022E-01  0.87374022E-01
  0.90988000E+01 -0.23585077E-01 -0.23585077E-01
  0.91526000E+01 -0.13615819E+00 -0.13615819E+00
  0.92065000E+01 -0.20833043E+00 -0.20833043E+00
  0.92603000E+01 -0.17630049E+00 -0.17630049E+00
  0.93141000E+01 -0.28941798E-01 -0.28941798E-01
  0.93680000E+01  0.11764373E+00  0.11764373E+00
  0.94218000E+01  0.18703559E+00  0.18703559E+00
  0.94757000E+01  0.21800720E+00  0.21800720E+00
  0.95295000E+01  0.22883407E+00  0.22883407E+00
  0.95833000E+01  0.20011625E+00  0.20011625E+00
  0.96372000E+01  0.13242857E+00  0.13242857E+00
  0.96910000E+01  0.65452745E-01  0.65452745E-01
  0.97449000E+01  0.37811311E-01  0.37811311E-01
  0.97987000E+01  0.38808859E-01  0.38808859E-01
  0.98525000E+01  0.37039118E-01  0.37039118E-01
  0.99064000E+01  0.25359477E-01  0.25359477E-01
  0.99602000E+01  0.19323350E-01  0.19323350E-01
  0.10014000E+02  0.38210546E-01  0.38210546E-01
  0.10067900E+02  0.79425925E-01  0.79425925E-01
  0.10121700E+02  0.12661985E+00  0.12661985E+00
  0.10175600E+02  0.17881793E+00  0.17881793E+00
  0.10229400E+02  0.21533725E+00  0.21533725E+00
  0.10283200E+02  0.19329138E+00  0.19329138E+00
  0.10337100E+02  0.13147801E+00  0.13147801E+00
  0.10390900E+02  0.75198671E-01  0.75198671E-01
  0.10444800E+02  0.24467547E-01  0.24467547E-01
  0.10498600E+02 -0.33129491E-01 -0.33129491E-01
  0.10552400E+02 -0.10287094E+00 -0.10287094E+00
