  #energy          xx             yy              zz              xy              yz              zx
  0.34457000E+01  0.22528992E+00  0.22528992E+00  0.22528992E+00             NaN             NaN             NaN
  0.34995000E+01  0.23931480E+00  0.23931480E+00  0.23931480E+00             NaN             NaN             NaN
  0.35534000E+01  0.23448251E+00  0.23448251E+00  0.23448251E+00             NaN             NaN             NaN
  0.36072000E+01  0.21261868E+00  0.21261868E+00  0.21261868E+00             NaN             NaN             NaN
  0.36611000E+01  0.19497874E+00  0.19497874E+00  0.19497874E+00             NaN             NaN             NaN
  0.37149000E+01  0.19072891E+00  0.19072891E+00  0.19072891E+00             NaN             NaN             NaN
  0.37687000E+01  0.19087422E+00  0.19087422E+00  0.19087422E+00             NaN             NaN             NaN
  0.38226000E+01  0.18202189E+00  0.18202189E+00  0.18202189E+00             NaN             NaN             NaN
  0.38764000E+01  0.16813715E+00  0.16813715E+00  0.16813715E+00             NaN             NaN             NaN
  0.39302000E+01  0.16063133E+00  0.16063133E+00  0.16063133E+00             NaN             NaN             NaN
  0.39841000E+01  0.15687496E+00  0.15687496E+00  0.15687496E+00             NaN             NaN             NaN
  0.40379000E+01  0.15237603E+00  0.15237603E+00  0.15237603E+00             NaN             NaN             NaN
  0.40918000E+01  0.15062184E+00  0.15062184E+00  0.15062184E+00             NaN             NaN             NaN
  0.41456000E+01  0.15256433E+00  0.15256433E+00  0.15256433E+00             NaN             NaN             NaN
  0.41994000E+01  0.15264068E+00  0.15264068E+00  0.15264068E+00             NaN             NaN             NaN
  0.42533000E+01  0.14778299E+00  0.14778299E+00  0.14778299E+00             NaN             NaN             NaN
  0.43071000E+01  0.14607909E+00  0.14607909E+00  0.14607909E+00             NaN             NaN             NaN
  0.43610000E+01  0.15295195E+00  0.15295195E+00  0.15295195E+00             NaN             NaN             NaN
  0.44148000E+01  0.16378498E+00  0.16378498E+00  0.16378498E+00             NaN             NaN             NaN
  0.44686000E+01  0.17052117E+00  0.17052117E+00  0.17052117E+00             NaN             NaN             NaN
  0.45225000E+01  0.16914294E+00  0.16914294E+00  0.16914294E+00             NaN             NaN             NaN
  0.45763000E+01  0.15909374E+00  0.15909374E+00  0.15909374E+00             NaN             NaN             NaN
  0.46302000E+01  0.14623190E+00  0.14623190E+00  0.14623190E+00             NaN             NaN             NaN
  0.46840000E+01  0.13525237E+00  0.13525237E+00  0.13525237E+00             NaN             NaN             NaN
  0.47378000E+01  0.12712449E+00  0.12712449E+00  0.12712449E+00             NaN             NaN             NaN
  0.47917000E+01  0.12301725E+00  0.12301725E+00  0.12301725E+00             NaN             NaN             NaN
  0.48455000E+01  0.12061919E+00  0.12061919E+00  0.12061919E+00             NaN             NaN             NaN
  0.48993000E+01  0.11948245E+00  0.11948245E+00  0.11948245E+00             NaN             NaN             NaN
  0.49532000E+01  0.12037483E+00  0.12037483E+00  0.12037483E+00             NaN             NaN             NaN
  0.50070000E+01  0.12246715E+00  0.12246715E+00  0.12246715E+00             NaN             NaN             NaN
  0.50609000E+01  0.12666909E+00  0.12666909E+00  0.12666909E+00             NaN             NaN             NaN
  0.51147000E+01  0.13605541E+00  0.13605541E+00  0.13605541E+00             NaN             NaN             NaN
  0.51685000E+01  0.15489788E+00  0.15489788E+00  0.15489788E+00             NaN             NaN             NaN
  0.52224000E+01  0.18404702E+00  0.18404702E+00  0.18404702E+00             NaN             NaN             NaN
  0.52762000E+01  0.21377935E+00  0.21377935E+00  0.21377935E+00             NaN             NaN             NaN
  0.53301000E+01  0.22673143E+00  0.22673143E+00  0.22673143E+00             NaN             NaN             NaN
  0.53839000E+01  0.22485461E+00  0.22485461E+00  0.22485461E+00             NaN             NaN             NaN
  0.54377000E+01  0.22032131E+00  0.22032131E+00  0.22032131E+00             NaN             NaN             NaN
  0.54916000E+01  0.21772973E+00  0.21772973E+00  0.21772973E+00             NaN             NaN             NaN
  0.55454000E+01  0.22566336E+00  0.22566336E+00  0.22566336E+00             NaN             NaN             NaN
  0.55993000E+01  0.24772557E+00  0.24772557E+00  0.24772557E+00             NaN             NaN             NaN
  0.56531000E+01  0.27120960E+00  0.27120960E+00  0.27120960E+00             NaN             NaN             NaN
  0.57069000E+01  0.27872242E+00  0.27872242E+00  0.27872242E+00             NaN             NaN             NaN
  0.57608000E+01  0.26466836E+00  0.26466836E+00  0.26466836E+00             NaN             NaN             NaN
  0.58146000E+01  0.23578529E+00  0.23578529E+00  0.23578529E+00             NaN             NaN             NaN
  0.58684000E+01  0.20611894E+00  0.20611894E+00  0.20611894E+00             NaN             NaN             NaN
  0.59223000E+01  0.18387008E+00  0.18387008E+00  0.18387008E+00             NaN             NaN             NaN
  0.59761000E+01  0.17341485E+00  0.17341485E+00  0.17341485E+00             NaN             NaN             NaN
  0.60300000E+01  0.17285193E+00  0.17285193E+00  0.17285193E+00             NaN             NaN             NaN
  0.60838000E+01  0.17821541E+00  0.17821541E+00  0.17821541E+00             NaN             NaN             NaN
  0.61376000E+01  0.18590931E+00  0.18590931E+00  0.18590931E+00             NaN             NaN             NaN
  0.61915000E+01  0.18958722E+00  0.18958722E+00  0.18958722E+00             NaN             NaN             NaN
  0.62453000E+01  0.18496831E+00  0.18496831E+00  0.18496831E+00             NaN             NaN             NaN
  0.62992000E+01  0.17920072E+00  0.17920072E+00  0.17920072E+00             NaN             NaN             NaN
  0.63530000E+01  0.18357407E+00  0.18357407E+00  0.18357407E+00             NaN             NaN             NaN
  0.64068000E+01  0.20046056E+00  0.20046056E+00  0.20046056E+00             NaN             NaN             NaN
  0.64607000E+01  0.21934566E+00  0.21934566E+00  0.21934566E+00             NaN             NaN             NaN
  0.65145000E+01  0.22678559E+00  0.22678559E+00  0.22678559E+00             NaN             NaN             NaN
  0.65684000E+01  0.22959523E+00  0.22959523E+00  0.22959523E+00             NaN             NaN             NaN
  0.66222000E+01  0.23509852E+00  0.23509852E+00  0.23509852E+00             NaN             NaN             NaN
  0.66760000E+01  0.23715196E+00  0.23715196E+00  0.23715196E+00             NaN             NaN             NaN
  0.67299000E+01  0.22933764E+00  0.22933764E+00  0.22933764E+00             NaN             NaN             NaN
  0.67837000E+01  0.21714079E+00  0.21714079E+00  0.21714079E+00             NaN             NaN             NaN
  0.68375000E+01  0.20921261E+00  0.20921261E+00  0.20921261E+00             NaN             NaN             NaN
  0.68914000E+01  0.20832692E+00  0.20832692E+00  0.20832692E+00             NaN             NaN             NaN
