     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -22.49156     0.03230    -0.03230     0.00000    -0.00000     0.07328    -0.07311
   -22.41456     0.03261    -0.03257     0.00000    -0.00000     0.07804    -0.07773
   -22.33856     0.03472    -0.03456     0.00000    -0.00000     0.08968    -0.08889
   -22.26256     0.04207    -0.04159     0.00000    -0.00000     0.12101    -0.11901
   -22.18556     0.06070    -0.05960     0.00000    -0.00000     0.19418    -0.18988
   -22.10956     0.09422    -0.09256     0.00000    -0.00000     0.32281    -0.31642
   -22.03356     0.13390    -0.13238     0.00000    -0.00000     0.47461    -0.46872
   -21.95656     0.15675    -0.15653     0.00000    -0.00000     0.56451    -0.56302
   -21.88056     0.14394    -0.14521     0.00000    -0.00000     0.52213    -0.52654
   -21.80456     0.10138    -0.10348     0.00000    -0.00000     0.36931    -0.37681
   -21.72756     0.05431    -0.05607     0.00000    -0.00000     0.19834    -0.20474
   -21.65156     0.02202    -0.02301     0.00000    -0.00000     0.08052    -0.08411
   -21.57556     0.00674    -0.00713     0.00000    -0.00000     0.02467    -0.02608
   -21.49856     0.00156    -0.00166     0.00000    -0.00000     0.00570    -0.00609
   -21.42256     0.00027    -0.00029     0.00000    -0.00000     0.00099    -0.00107
   -21.34556     0.00004    -0.00004     0.00000    -0.00000     0.00013    -0.00014
   -21.26956     0.00000    -0.00000     0.00000    -0.00000     0.00001    -0.00001
   -21.19356     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -21.11656     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -21.04056     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -20.96456     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -20.88756     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -20.81156     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -20.73556     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -20.65856     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58256     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50656     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42956     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.35356     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27756     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20056     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12456     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04856     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -19.97156     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -19.89556     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -19.81856     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
