   #Energy      xx              yy   
  0.60838000E+01  0.21290304E+01  0.21290304E+01
  0.61376000E+01  0.21437075E+01  0.21437075E+01
  0.61915000E+01  0.21253016E+01  0.21253016E+01
  0.62453000E+01  0.21791123E+01  0.21791123E+01
  0.62992000E+01  0.23444673E+01  0.23444673E+01
  0.63530000E+01  0.24786394E+01  0.24786394E+01
  0.64068000E+01  0.24022046E+01  0.24022046E+01
  0.64607000E+01  0.22210361E+01  0.22210361E+01
  0.65145000E+01  0.21262043E+01  0.21262043E+01
  0.65684000E+01  0.20968954E+01  0.20968954E+01
  0.66222000E+01  0.20459417E+01  0.20459417E+01
  0.66760000E+01  0.19890981E+01  0.19890981E+01
  0.67299000E+01  0.19942681E+01  0.19942681E+01
  0.67837000E+01  0.20825675E+01  0.20825675E+01
  0.68375000E+01  0.22102138E+01  0.22102138E+01
  0.68914000E+01  0.23096858E+01  0.23096858E+01
  0.69452000E+01  0.23443221E+01  0.23443221E+01
  0.69991000E+01  0.23200896E+01  0.23200896E+01
  0.70529000E+01  0.22405525E+01  0.22405525E+01
  0.71067000E+01  0.21541523E+01  0.21541523E+01
  0.71606000E+01  0.21302554E+01  0.21302554E+01
  0.72144000E+01  0.22527143E+01  0.22527143E+01
  0.72683000E+01  0.25743233E+01  0.25743233E+01
  0.73221000E+01  0.29604172E+01  0.29604172E+01
  0.73759000E+01  0.32112425E+01  0.32112425E+01
  0.74298000E+01  0.33274744E+01  0.33274744E+01
  0.74836000E+01  0.33399421E+01  0.33399421E+01
  0.75375000E+01  0.32070868E+01  0.32070868E+01
  0.75913000E+01  0.29656764E+01  0.29656764E+01
  0.76451000E+01  0.27241508E+01  0.27241508E+01
  0.76990000E+01  0.25185036E+01  0.25185036E+01
  0.77528000E+01  0.23122372E+01  0.23122372E+01
  0.78067000E+01  0.21134485E+01  0.21134485E+01
  0.78605000E+01  0.19803876E+01  0.19803876E+01
  0.79143000E+01  0.19543142E+01  0.19543142E+01
  0.79682000E+01  0.20293307E+01  0.20293307E+01
  0.80220000E+01  0.21268538E+01  0.21268538E+01
  0.80758000E+01  0.21226547E+01  0.21226547E+01
  0.81297000E+01  0.20011558E+01  0.20011558E+01
  0.81835000E+01  0.18163715E+01  0.18163715E+01
  0.82374000E+01  0.16148125E+01  0.16148125E+01
  0.82912000E+01  0.14614349E+01  0.14614349E+01
  0.83450000E+01  0.13812360E+01  0.13812360E+01
  0.83989000E+01  0.13372852E+01  0.13372852E+01
  0.84527000E+01  0.13174088E+01  0.13174088E+01
  0.85066000E+01  0.13127986E+01  0.13127986E+01
  0.85604000E+01  0.12807192E+01  0.12807192E+01
  0.86142000E+01  0.12084673E+01  0.12084673E+01
  0.86681000E+01  0.11569264E+01  0.11569264E+01
  0.87219000E+01  0.11683198E+01  0.11683198E+01
  0.87758000E+01  0.12071890E+01  0.12071890E+01
  0.88296000E+01  0.12080504E+01  0.12080504E+01
  0.88834000E+01  0.11764374E+01  0.11764374E+01
  0.89373000E+01  0.11492574E+01  0.11492574E+01
  0.89911000E+01  0.11374296E+01  0.11374296E+01
  0.90449000E+01  0.11393572E+01  0.11393572E+01
  0.90988000E+01  0.11698052E+01  0.11698052E+01
  0.91526000E+01  0.12559267E+01  0.12559267E+01
  0.92065000E+01  0.14073236E+01  0.14073236E+01
  0.92603000E+01  0.15945317E+01  0.15945317E+01
  0.93141000E+01  0.17081659E+01  0.17081659E+01
  0.93680000E+01  0.16888663E+01  0.16888663E+01
  0.94218000E+01  0.16218095E+01  0.16218095E+01
  0.94757000E+01  0.15618256E+01  0.15618256E+01
  0.95295000E+01  0.14940571E+01  0.14940571E+01
  0.95833000E+01  0.14240347E+01  0.14240347E+01
  0.96372000E+01  0.13861944E+01  0.13861944E+01
  0.96910000E+01  0.14021242E+01  0.14021242E+01
  0.97449000E+01  0.14429487E+01  0.14429487E+01
  0.97987000E+01  0.14681896E+01  0.14681896E+01
  0.98525000E+01  0.14760921E+01  0.14760921E+01
  0.99064000E+01  0.14881547E+01  0.14881547E+01
  0.99602000E+01  0.15158807E+01  0.15158807E+01
  0.10014000E+02  0.15492200E+01  0.15492200E+01
  0.10067900E+02  0.15638802E+01  0.15638802E+01
  0.10121700E+02  0.15556153E+01  0.15556153E+01
  0.10175600E+02  0.15218774E+01  0.15218774E+01
  0.10229400E+02  0.14447771E+01  0.14447771E+01
  0.10283200E+02  0.13495629E+01  0.13495629E+01
  0.10337100E+02  0.12928948E+01  0.12928948E+01
  0.10390900E+02  0.12657467E+01  0.12657467E+01
  0.10444800E+02  0.12435568E+01  0.12435568E+01
  0.10498600E+02  0.12236783E+01  0.12236783E+01
  0.10552400E+02  0.12146586E+01  0.12146586E+01
  0.10606300E+02  0.12298279E+01  0.12298279E+01
  0.10660100E+02  0.12798313E+01  0.12798313E+01
  0.10714000E+02  0.13439161E+01  0.13439161E+01
  0.10767800E+02  0.13836900E+01  0.13836900E+01
  0.10821600E+02  0.14085490E+01  0.14085490E+01
  0.10875500E+02  0.14110121E+01  0.14110121E+01
  0.10929300E+02  0.13693387E+01  0.13693387E+01
  0.10983200E+02  0.13186221E+01  0.13186221E+01
  0.11037000E+02  0.13097993E+01  0.13097993E+01
  0.11090800E+02  0.13653779E+01  0.13653779E+01
  0.11144700E+02  0.14497068E+01  0.14497068E+01
  0.11198500E+02  0.15192680E+01  0.15192680E+01
  0.11252300E+02  0.15791040E+01  0.15791040E+01
  0.11306200E+02  0.16823251E+01  0.16823251E+01
  0.11360000E+02  0.18839265E+01  0.18839265E+01
  0.11413900E+02  0.21440711E+01  0.21440711E+01
  0.11467700E+02  0.23732414E+01  0.23732414E+01
  0.11521500E+02  0.25147796E+01  0.25147796E+01
  0.11575400E+02  0.25016646E+01  0.25016646E+01
  0.11629200E+02  0.23286823E+01  0.23286823E+01
  0.11683100E+02  0.20817805E+01  0.20817805E+01
  0.11736900E+02  0.18444846E+01  0.18444846E+01
  0.11790700E+02  0.16546610E+01  0.16546610E+01
  0.11844600E+02  0.15262569E+01  0.15262569E+01
  0.11898400E+02  0.14453570E+01  0.14453570E+01
  0.11952300E+02  0.13945595E+01  0.13945595E+01
  0.12006100E+02  0.13545417E+01  0.13545417E+01
  0.12059900E+02  0.13255647E+01  0.13255647E+01
  0.12113800E+02  0.13230051E+01  0.13230051E+01
  0.12167600E+02  0.13467077E+01  0.13467077E+01
  0.12221400E+02  0.14063792E+01  0.14063792E+01
  0.12275300E+02  0.14993426E+01  0.14993426E+01
  0.12329100E+02  0.15693344E+01  0.15693344E+01
  0.12383000E+02  0.16126793E+01  0.16126793E+01
  0.12436800E+02  0.16645381E+01  0.16645381E+01
  0.12490600E+02  0.17171871E+01  0.17171871E+01
  0.12544500E+02  0.17540844E+01  0.17540844E+01
  0.12598300E+02  0.17716474E+01  0.17716474E+01
  0.12652200E+02  0.17921622E+01  0.17921622E+01
  0.12706000E+02  0.17922139E+01  0.17922139E+01
  0.12759800E+02  0.17333448E+01  0.17333448E+01
  0.12813700E+02  0.16451493E+01  0.16451493E+01
  0.12867500E+02  0.15660822E+01  0.15660822E+01
  0.12921400E+02  0.14976456E+01  0.14976456E+01
  0.12975200E+02  0.14567740E+01  0.14567740E+01
  0.13029000E+02  0.14723587E+01  0.14723587E+01
  0.13082900E+02  0.15514349E+01  0.15514349E+01
  0.13136700E+02  0.17085097E+01  0.17085097E+01
  0.13190500E+02  0.19774623E+01  0.19774623E+01
  0.13244400E+02  0.23708594E+01  0.23708594E+01
  0.13298200E+02  0.28129755E+01  0.28129755E+01
  0.13352100E+02  0.32073452E+01  0.32073452E+01
  0.13405900E+02  0.35752105E+01  0.35752105E+01
  0.13459700E+02  0.37881656E+01  0.37881656E+01
  0.13513600E+02  0.37283828E+01  0.37283828E+01
  0.13567400E+02  0.35682590E+01  0.35682590E+01
  0.13621300E+02  0.34606116E+01  0.34606116E+01
  0.13675100E+02  0.33200510E+01  0.33200510E+01
  0.13728900E+02  0.30231096E+01  0.30231096E+01
  0.13782800E+02  0.26296711E+01  0.26296711E+01
  0.13836600E+02  0.22977611E+01  0.22977611E+01
  0.13890500E+02  0.21053261E+01  0.21053261E+01
  0.13944300E+02  0.20226685E+01  0.20226685E+01
  0.13998100E+02  0.19693971E+01  0.19693971E+01
  0.14052000E+02  0.19060547E+01  0.19060547E+01
  0.14105800E+02  0.18448804E+01  0.18448804E+01
  0.14159700E+02  0.18021180E+01  0.18021180E+01
  0.14213500E+02  0.17874544E+01  0.17874544E+01
  0.14267300E+02  0.17982400E+01  0.17982400E+01
  0.14321200E+02  0.17993845E+01  0.17993845E+01
  0.14375000E+02  0.17849676E+01  0.17849676E+01
  0.14428800E+02  0.17886281E+01  0.17886281E+01
  0.14482700E+02  0.18116317E+01  0.18116317E+01
  0.14536500E+02  0.18321698E+01  0.18321698E+01
  0.14590400E+02  0.18746690E+01  0.18746690E+01
  0.14644200E+02  0.19609190E+01  0.19609190E+01
  0.14698000E+02  0.20367483E+01  0.20367483E+01
  0.14751900E+02  0.20264044E+01  0.20264044E+01
  0.14805700E+02  0.19845707E+01  0.19845707E+01
  0.14859600E+02  0.20066284E+01  0.20066284E+01
  0.14913400E+02  0.20781220E+01  0.20781220E+01
  0.14967200E+02  0.21129692E+01  0.21129692E+01
  0.15021100E+02  0.21048588E+01  0.21048588E+01
  0.15074900E+02  0.20735646E+01  0.20735646E+01
  0.15128800E+02  0.20119252E+01  0.20119252E+01
  0.15182600E+02  0.19225258E+01  0.19225258E+01
  0.15236400E+02  0.18423771E+01  0.18423771E+01
  0.15290300E+02  0.18439711E+01  0.18439711E+01
  0.15344100E+02  0.19183955E+01  0.19183955E+01
  0.15397900E+02  0.19708607E+01  0.19708607E+01
  0.15451800E+02  0.19977860E+01  0.19977860E+01
  0.15505600E+02  0.20460575E+01  0.20460575E+01
  0.15559500E+02  0.21002656E+01  0.21002656E+01
  0.15613300E+02  0.21040084E+01  0.21040084E+01
  0.15667100E+02  0.20772058E+01  0.20772058E+01
  0.15721000E+02  0.20763791E+01  0.20763791E+01
  0.15774800E+02  0.21118031E+01  0.21118031E+01
  0.15828700E+02  0.21955991E+01  0.21955991E+01
  0.15882500E+02  0.23197929E+01  0.23197929E+01
  0.15936300E+02  0.24279718E+01  0.24279718E+01
  0.15990200E+02  0.25241006E+01  0.25241006E+01
  0.16044000E+02  0.26549025E+01  0.26549025E+01
  0.16097900E+02  0.27231732E+01  0.27231732E+01
  0.16151700E+02  0.25632461E+01  0.25632461E+01
  0.16205500E+02  0.22340368E+01  0.22340368E+01
  0.16259400E+02  0.19286435E+01  0.19286435E+01
  0.16313200E+02  0.17048182E+01  0.17048182E+01
  0.16367000E+02  0.15506221E+01  0.15506221E+01
  0.16420900E+02  0.14561905E+01  0.14561905E+01
  0.16474700E+02  0.13904067E+01  0.13904067E+01
  0.16528600E+02  0.13243031E+01  0.13243031E+01
  0.16582400E+02  0.12869651E+01  0.12869651E+01
  0.16636200E+02  0.13272995E+01  0.13272995E+01
  0.16690100E+02  0.14419059E+01  0.14419059E+01
  0.16743900E+02  0.16064134E+01  0.16064134E+01
  0.16797800E+02  0.17587069E+01  0.17587069E+01
  0.16851600E+02  0.17967614E+01  0.17967614E+01
  0.16905400E+02  0.17320037E+01  0.17320037E+01
  0.16959300E+02  0.16565678E+01  0.16565678E+01
  0.17013100E+02  0.16244340E+01  0.16244340E+01
  0.17067000E+02  0.16466168E+01  0.16466168E+01
