 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.41982999E+03  0.48455263E+06  0.48455263E+06  0.48455263E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41126544E+03  0.47116663E+06  0.47116663E+06  0.47116663E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40304334E+03  0.45905777E+06  0.45905777E+06  0.45905777E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39513096E+03  0.44164251E+06  0.44164251E+06  0.44164251E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38753537E+03  0.43606941E+06  0.43606941E+06  0.43606941E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38022630E+03  0.44331289E+06  0.44331289E+06  0.44331289E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37318783E+03  0.44025452E+06  0.44025452E+06  0.44025452E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36639437E+03  0.42095659E+06  0.42095659E+06  0.42095659E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35985427E+03  0.40466413E+06  0.40466413E+06  0.40466413E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35354356E+03  0.40696726E+06  0.40696726E+06  0.40696726E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34745038E+03  0.41754190E+06  0.41754190E+06  0.41754190E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34155425E+03  0.43348345E+06  0.43348345E+06  0.43348345E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33586399E+03  0.46872536E+06  0.46872536E+06  0.46872536E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33036022E+03  0.52239794E+06  0.52239794E+06  0.52239794E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32503393E+03  0.57347675E+06  0.57347675E+06  0.57347675E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31986840E+03  0.59433145E+06  0.59433145E+06  0.59433145E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31487249E+03  0.57709462E+06  0.57709462E+06  0.57709462E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31003024E+03  0.52931493E+06  0.52931493E+06  0.52931493E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30533466E+03  0.48061085E+06  0.48061085E+06  0.48061085E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30077190E+03  0.44254947E+06  0.44254947E+06  0.44254947E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29635058E+03  0.40951878E+06  0.40951878E+06  0.40951878E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29205736E+03  0.39033934E+06  0.39033934E+06  0.39033934E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28788676E+03  0.37737330E+06  0.37737330E+06  0.37737330E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28382710E+03  0.36872154E+06  0.36872154E+06  0.36872154E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27988666E+03  0.36779697E+06  0.36779697E+06  0.36779697E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27605413E+03  0.36889417E+06  0.36889417E+06  0.36889417E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27232514E+03  0.38373176E+06  0.38373176E+06  0.38373176E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26868974E+03  0.41966896E+06  0.41966896E+06  0.41966896E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26515578E+03  0.46852254E+06  0.46852254E+06  0.46852254E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26171358E+03  0.49736482E+06  0.49736482E+06  0.49736482E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25835961E+03  0.50149292E+06  0.50149292E+06  0.50149292E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25508526E+03  0.50265072E+06  0.50265072E+06  0.50265072E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25189799E+03  0.51356493E+06  0.51356493E+06  0.51356493E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24878939E+03  0.53642647E+06  0.53642647E+06  0.53642647E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24575657E+03  0.57436575E+06  0.57436575E+06  0.57436575E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24279206E+03  0.60895139E+06  0.60895139E+06  0.60895139E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
