 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.32297000E+01  0.56064729E+06  0.56064729E+06  0.56064729E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32970000E+01  0.57795547E+06  0.57795547E+06  0.57795547E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33642000E+01  0.58606210E+06  0.58606210E+06  0.58606210E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34315000E+01  0.58754620E+06  0.58754620E+06  0.58754620E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34988000E+01  0.58520802E+06  0.58520802E+06  0.58520802E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35661000E+01  0.58102883E+06  0.58102883E+06  0.58102883E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36334000E+01  0.57549223E+06  0.57549223E+06  0.57549223E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37007000E+01  0.56765957E+06  0.56765957E+06  0.56765957E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37680000E+01  0.55576794E+06  0.55576794E+06  0.55576794E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38352000E+01  0.53824369E+06  0.53824369E+06  0.53824369E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39025000E+01  0.51453919E+06  0.51453919E+06  0.51453919E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39698000E+01  0.48529907E+06  0.48529907E+06  0.48529907E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40371000E+01  0.45212482E+06  0.45212482E+06  0.45212482E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41044000E+01  0.41698116E+06  0.41698116E+06  0.41698116E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41717000E+01  0.38162842E+06  0.38162842E+06  0.38162842E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42390000E+01  0.34759456E+06  0.34759456E+06  0.34759456E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43062000E+01  0.31654154E+06  0.31654154E+06  0.31654154E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43735000E+01  0.29040868E+06  0.29040868E+06  0.29040868E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44408000E+01  0.27082021E+06  0.27082021E+06  0.27082021E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45081000E+01  0.25777177E+06  0.25777177E+06  0.25777177E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45754000E+01  0.24906943E+06  0.24906943E+06  0.24906943E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46427000E+01  0.24112600E+06  0.24112600E+06  0.24112600E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47099000E+01  0.23043158E+06  0.23043158E+06  0.23043158E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47772000E+01  0.21535432E+06  0.21535432E+06  0.21535432E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48445000E+01  0.19741427E+06  0.19741427E+06  0.19741427E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49118000E+01  0.18069520E+06  0.18069520E+06  0.18069520E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49791000E+01  0.16942431E+06  0.16942431E+06  0.16942431E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50464000E+01  0.16548472E+06  0.16548472E+06  0.16548472E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51137000E+01  0.16824343E+06  0.16824343E+06  0.16824343E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51809000E+01  0.17559763E+06  0.17559763E+06  0.17559763E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52482000E+01  0.18556637E+06  0.18556637E+06  0.18556637E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53155000E+01  0.19697581E+06  0.19697581E+06  0.19697581E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53828000E+01  0.20936213E+06  0.20936213E+06  0.20936213E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.54501000E+01  0.22223786E+06  0.22223786E+06  0.22223786E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55174000E+01  0.23461947E+06  0.23461947E+06  0.23461947E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55847000E+01  0.24543458E+06  0.24543458E+06  0.24543458E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56519000E+01  0.25424874E+06  0.25424874E+06  0.25424874E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57192000E+01  0.26174553E+06  0.26174553E+06  0.26174553E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57865000E+01  0.26915074E+06  0.26915074E+06  0.26915074E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.58538000E+01  0.27717743E+06  0.27717743E+06  0.27717743E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59211000E+01  0.28498673E+06  0.28498673E+06  0.28498673E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59884000E+01  0.28999276E+06  0.28999276E+06  0.28999276E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60556000E+01  0.28918069E+06  0.28918069E+06  0.28918069E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61229000E+01  0.28132505E+06  0.28132505E+06  0.28132505E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61902000E+01  0.26842297E+06  0.26842297E+06  0.26842297E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62575000E+01  0.25495996E+06  0.25495996E+06  0.25495996E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.63248000E+01  0.24524397E+06  0.24524397E+06  0.24524397E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.63921000E+01  0.24083438E+06  0.24083438E+06  0.24083438E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64594000E+01  0.24064773E+06  0.24064773E+06  0.24064773E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65266000E+01  0.24265879E+06  0.24265879E+06  0.24265879E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65939000E+01  0.24573965E+06  0.24573965E+06  0.24573965E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.66612000E+01  0.25006106E+06  0.25006106E+06  0.25006106E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67285000E+01  0.25631362E+06  0.25631362E+06  0.25631362E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67958000E+01  0.26464055E+06  0.26464055E+06  0.26464055E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68631000E+01  0.27383526E+06  0.27383526E+06  0.27383526E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69304000E+01  0.28166417E+06  0.28166417E+06  0.28166417E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69976000E+01  0.28558728E+06  0.28558728E+06  0.28558728E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70649000E+01  0.28381249E+06  0.28381249E+06  0.28381249E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71322000E+01  0.27641162E+06  0.27641162E+06  0.27641162E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71995000E+01  0.26653304E+06  0.26653304E+06  0.26653304E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.72668000E+01  0.25966373E+06  0.25966373E+06  0.25966373E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73341000E+01  0.26093210E+06  0.26093210E+06  0.26093210E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74013000E+01  0.27202687E+06  0.27202687E+06  0.27202687E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74686000E+01  0.28986321E+06  0.28986321E+06  0.28986321E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75359000E+01  0.30816039E+06  0.30816039E+06  0.30816039E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.76032000E+01  0.32074478E+06  0.32074478E+06  0.32074478E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.76705000E+01  0.32508829E+06  0.32508829E+06  0.32508829E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77378000E+01  0.32417077E+06  0.32417077E+06  0.32417077E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78051000E+01  0.32487449E+06  0.32487449E+06  0.32487449E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78723000E+01  0.33314766E+06  0.33314766E+06  0.33314766E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79396000E+01  0.34976952E+06  0.34976952E+06  0.34976952E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80069000E+01  0.37055484E+06  0.37055484E+06  0.37055484E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80742000E+01  0.38995211E+06  0.38995211E+06  0.38995211E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.81415000E+01  0.40562045E+06  0.40562045E+06  0.40562045E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82088000E+01  0.42010400E+06  0.42010400E+06  0.42010400E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82761000E+01  0.43849247E+06  0.43849247E+06  0.43849247E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83433000E+01  0.46312814E+06  0.46312814E+06  0.46312814E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.84106000E+01  0.49059139E+06  0.49059139E+06  0.49059139E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.84779000E+01  0.51278802E+06  0.51278802E+06  0.51278802E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85452000E+01  0.52104596E+06  0.52104596E+06  0.52104596E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86125000E+01  0.51015917E+06  0.51015917E+06  0.51015917E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86798000E+01  0.48109228E+06  0.48109228E+06  0.48109228E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.87470000E+01  0.44103945E+06  0.44103945E+06  0.44103945E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88143000E+01  0.40092331E+06  0.40092331E+06  0.40092331E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88816000E+01  0.36991448E+06  0.36991448E+06  0.36991448E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89489000E+01  0.35164345E+06  0.35164345E+06  0.35164345E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90162000E+01  0.34419679E+06  0.34419679E+06  0.34419679E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90835000E+01  0.34338326E+06  0.34338326E+06  0.34338326E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91508000E+01  0.34504491E+06  0.34504491E+06  0.34504491E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92180000E+01  0.34613308E+06  0.34613308E+06  0.34613308E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92853000E+01  0.34448969E+06  0.34448969E+06  0.34448969E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93526000E+01  0.33891913E+06  0.33891913E+06  0.33891913E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94199000E+01  0.32930111E+06  0.32930111E+06  0.32930111E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94872000E+01  0.31705633E+06  0.31705633E+06  0.31705633E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95545000E+01  0.30431164E+06  0.30431164E+06  0.30431164E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96218000E+01  0.29286954E+06  0.29286954E+06  0.29286954E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96890000E+01  0.28394711E+06  0.28394711E+06  0.28394711E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97563000E+01  0.27879829E+06  0.27879829E+06  0.27879829E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98236000E+01  0.27964396E+06  0.27964396E+06  0.27964396E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98909000E+01  0.28876716E+06  0.28876716E+06  0.28876716E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99582000E+01  0.30697611E+06  0.30697611E+06  0.30697611E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10025500E+02  0.33170941E+06  0.33170941E+06  0.33170941E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
