   #Energy      xx(%)           yy(%)
  0.76032000E+01  0.19051496E+01  0.19051496E+01
  0.76705000E+01  0.19155578E+01  0.19155578E+01
  0.77378000E+01  0.19080761E+01  0.19080761E+01
  0.78051000E+01  0.19262961E+01  0.19262961E+01
  0.78723000E+01  0.19971481E+01  0.19971481E+01
  0.79396000E+01  0.21127133E+01  0.21127133E+01
  0.80069000E+01  0.22384152E+01  0.22384152E+01
  0.80742000E+01  0.23404251E+01  0.23404251E+01
  0.81415000E+01  0.24138349E+01  0.24138349E+01
  0.82088000E+01  0.24829634E+01  0.24829634E+01
  0.82761000E+01  0.25754398E+01  0.25754398E+01
  0.83433000E+01  0.26891880E+01  0.26891880E+01
  0.84106000E+01  0.27841900E+01  0.27841900E+01
  0.84779000E+01  0.28043725E+01  0.28043725E+01
  0.85452000E+01  0.27152901E+01  0.27152901E+01
  0.86125000E+01  0.25256371E+01  0.25256371E+01
  0.86798000E+01  0.22829056E+01  0.22829056E+01
  0.87470000E+01  0.20452935E+01  0.20452935E+01
  0.88143000E+01  0.18588158E+01  0.18588158E+01
  0.88816000E+01  0.17429219E+01  0.17429219E+01
  0.89489000E+01  0.16933004E+01  0.16933004E+01
  0.90162000E+01  0.16895341E+01  0.16895341E+01
  0.90835000E+01  0.17073994E+01  0.17073994E+01
  0.91508000E+01  0.17267144E+01  0.17267144E+01
  0.92180000E+01  0.17340890E+01  0.17340890E+01
  0.92853000E+01  0.17220858E+01  0.17220858E+01
  0.93526000E+01  0.16890784E+01  0.16890784E+01
  0.94199000E+01  0.16390738E+01  0.16390738E+01
  0.94872000E+01  0.15824061E+01  0.15824061E+01
  0.95545000E+01  0.15299953E+01  0.15299953E+01
  0.96218000E+01  0.14894823E+01  0.14894823E+01
  0.96890000E+01  0.14657924E+01  0.14657924E+01
  0.97563000E+01  0.14650029E+01  0.14650029E+01
  0.98236000E+01  0.14984722E+01  0.14984722E+01
  0.98909000E+01  0.15765381E+01  0.15765381E+01
  0.99582000E+01  0.16988891E+01  0.16988891E+01
  0.10025500E+02  0.18437580E+01  0.18437580E+01
  0.10092700E+02  0.19700765E+01  0.19700765E+01
  0.10160000E+02  0.20346157E+01  0.20346157E+01
  0.10227300E+02  0.20139243E+01  0.20139243E+01
  0.10294600E+02  0.19146785E+01  0.19146785E+01
  0.10361900E+02  0.17680934E+01  0.17680934E+01
  0.10429200E+02  0.16145362E+01  0.16145362E+01
  0.10496500E+02  0.14877192E+01  0.14877192E+01
  0.10563700E+02  0.14105367E+01  0.14105367E+01
  0.10631000E+02  0.13992690E+01  0.13992690E+01
  0.10698300E+02  0.14676254E+01  0.14676254E+01
  0.10765600E+02  0.16254286E+01  0.16254286E+01
  0.10832900E+02  0.18694046E+01  0.18694046E+01
  0.10900200E+02  0.21705905E+01  0.21705905E+01
  0.10967400E+02  0.24728981E+01  0.24728981E+01
  0.11034700E+02  0.27121211E+01  0.27121211E+01
  0.11102000E+02  0.28447592E+01  0.28447592E+01
  0.11169300E+02  0.28672591E+01  0.28672591E+01
  0.11236600E+02  0.28119255E+01  0.28119255E+01
  0.11303900E+02  0.27237449E+01  0.27237449E+01
  0.11371200E+02  0.26369490E+01  0.26369490E+01
  0.11438400E+02  0.25614405E+01  0.25614405E+01
  0.11505700E+02  0.24861850E+01  0.24861850E+01
  0.11573000E+02  0.23934469E+01  0.23934469E+01
  0.11640300E+02  0.22724536E+01  0.22724536E+01
  0.11707600E+02  0.21286399E+01  0.21286399E+01
  0.11774900E+02  0.19834693E+01  0.19834693E+01
  0.11842200E+02  0.18627112E+01  0.18627112E+01
  0.11909400E+02  0.17899564E+01  0.17899564E+01
  0.11976700E+02  0.17794951E+01  0.17794951E+01
  0.12044000E+02  0.18411544E+01  0.18411544E+01
  0.12111300E+02  0.19788889E+01  0.19788889E+01
  0.12178600E+02  0.21857439E+01  0.21857439E+01
  0.12245900E+02  0.24298915E+01  0.24298915E+01
  0.12313100E+02  0.26565517E+01  0.26565517E+01
  0.12380400E+02  0.28086712E+01  0.28086712E+01
  0.12447700E+02  0.28582706E+01  0.28582706E+01
  0.12515000E+02  0.28217771E+01  0.28217771E+01
  0.12582300E+02  0.27507419E+01  0.27507419E+01
  0.12649600E+02  0.27016847E+01  0.27016847E+01
  0.12716900E+02  0.27128518E+01  0.27128518E+01
  0.12784100E+02  0.27892208E+01  0.27892208E+01
  0.12851400E+02  0.29057733E+01  0.29057733E+01
  0.12918700E+02  0.30196388E+01  0.30196388E+01
  0.12986000E+02  0.30902905E+01  0.30902905E+01
  0.13053300E+02  0.30975223E+01  0.30975223E+01
  0.13120600E+02  0.30442164E+01  0.30442164E+01
  0.13187900E+02  0.29514843E+01  0.29514843E+01
  0.13255100E+02  0.28473871E+01  0.28473871E+01
  0.13322400E+02  0.27601892E+01  0.27601892E+01
  0.13389700E+02  0.27086606E+01  0.27086606E+01
  0.13457000E+02  0.26938002E+01  0.26938002E+01
  0.13524300E+02  0.26969304E+01  0.26969304E+01
  0.13591600E+02  0.26889353E+01  0.26889353E+01
  0.13658800E+02  0.26437643E+01  0.26437643E+01
  0.13726100E+02  0.25509975E+01  0.25509975E+01
  0.13793400E+02  0.24198767E+01  0.24198767E+01
  0.13860700E+02  0.22722265E+01  0.22722265E+01
  0.13928000E+02  0.21333096E+01  0.21333096E+01
  0.13995300E+02  0.20211468E+01  0.20211468E+01
  0.14062600E+02  0.19444108E+01  0.19444108E+01
  0.14129800E+02  0.19013153E+01  0.19013153E+01
  0.14197100E+02  0.18864403E+01  0.18864403E+01
  0.14264400E+02  0.18937924E+01  0.18937924E+01
  0.14331700E+02  0.19179530E+01  0.19179530E+01
  0.14399000E+02  0.19530259E+01  0.19530259E+01
  0.14466300E+02  0.19912033E+01  0.19912033E+01
  0.14533600E+02  0.20231031E+01  0.20231031E+01
  0.14600800E+02  0.20471796E+01  0.20471796E+01
  0.14668100E+02  0.20761421E+01  0.20761421E+01
  0.14735400E+02  0.21382471E+01  0.21382471E+01
  0.14802700E+02  0.22675920E+01  0.22675920E+01
  0.14870000E+02  0.24869328E+01  0.24869328E+01
  0.14937300E+02  0.27929425E+01  0.27929425E+01
  0.15004500E+02  0.31419988E+01  0.31419988E+01
  0.15071800E+02  0.34565257E+01  0.34565257E+01
  0.15139100E+02  0.36499918E+01  0.36499918E+01
  0.15206400E+02  0.36644414E+01  0.36644414E+01
  0.15273700E+02  0.34958186E+01  0.34958186E+01
  0.15341000E+02  0.31946108E+01  0.31946108E+01
  0.15408300E+02  0.28385458E+01  0.28385458E+01
  0.15475500E+02  0.25017589E+01  0.25017589E+01
  0.15542800E+02  0.22294034E+01  0.22294034E+01
  0.15610100E+02  0.20347567E+01  0.20347567E+01
  0.15677400E+02  0.19084710E+01  0.19084710E+01
  0.15744700E+02  0.18342794E+01  0.18342794E+01
  0.15812000E+02  0.17956964E+01  0.17956964E+01
  0.15879300E+02  0.17785616E+01  0.17785616E+01
  0.15946500E+02  0.17739808E+01  0.17739808E+01
  0.16013800E+02  0.17757253E+01  0.17757253E+01
  0.16081100E+02  0.17842676E+01  0.17842676E+01
  0.16148400E+02  0.18000946E+01  0.18000946E+01
  0.16215700E+02  0.18212610E+01  0.18212610E+01
  0.16283000E+02  0.18421243E+01  0.18421243E+01
  0.16350200E+02  0.18573543E+01  0.18573543E+01
  0.16417500E+02  0.18656775E+01  0.18656775E+01
  0.16484800E+02  0.18711219E+01  0.18711219E+01
  0.16552100E+02  0.18798586E+01  0.18798586E+01
  0.16619400E+02  0.18952478E+01  0.18952478E+01
  0.16686700E+02  0.19161131E+01  0.19161131E+01
  0.16754000E+02  0.19379126E+01  0.19379126E+01
  0.16821200E+02  0.19547673E+01  0.19547673E+01
  0.16888500E+02  0.19620102E+01  0.19620102E+01
  0.16955800E+02  0.19565576E+01  0.19565576E+01
  0.17023100E+02  0.19425039E+01  0.19425039E+01
  0.17090400E+02  0.19295562E+01  0.19295562E+01
  0.17157700E+02  0.19310112E+01  0.19310112E+01
  0.17225000E+02  0.19543452E+01  0.19543452E+01
  0.17292200E+02  0.19924412E+01  0.19924412E+01
  0.17359500E+02  0.20290238E+01  0.20290238E+01
  0.17426800E+02  0.20454049E+01  0.20454049E+01
  0.17494100E+02  0.20343979E+01  0.20343979E+01
  0.17561400E+02  0.20053005E+01  0.20053005E+01
  0.17628700E+02  0.19715080E+01  0.19715080E+01
  0.17695900E+02  0.19435502E+01  0.19435502E+01
  0.17763200E+02  0.19201977E+01  0.19201977E+01
  0.17830500E+02  0.18939286E+01  0.18939286E+01
  0.17897800E+02  0.18593386E+01  0.18593386E+01
  0.17965100E+02  0.18167691E+01  0.18167691E+01
  0.18032400E+02  0.17697271E+01  0.17697271E+01
  0.18099700E+02  0.17208774E+01  0.17208774E+01
  0.18166900E+02  0.16720140E+01  0.16720140E+01
  0.18234200E+02  0.16263672E+01  0.16263672E+01
  0.18301500E+02  0.15867384E+01  0.15867384E+01
  0.18368800E+02  0.15559859E+01  0.15559859E+01
  0.18436100E+02  0.15323717E+01  0.15323717E+01
  0.18503400E+02  0.15085319E+01  0.15085319E+01
  0.18570700E+02  0.14793190E+01  0.14793190E+01
  0.18637900E+02  0.14423104E+01  0.14423104E+01
  0.18705200E+02  0.14007276E+01  0.14007276E+01
  0.18772500E+02  0.13639897E+01  0.13639897E+01
  0.18839800E+02  0.13416864E+01  0.13416864E+01
  0.18907100E+02  0.13416409E+01  0.13416409E+01
  0.18974400E+02  0.13693644E+01  0.13693644E+01
  0.19041600E+02  0.14241366E+01  0.14241366E+01
  0.19108900E+02  0.15003896E+01  0.15003896E+01
  0.19176200E+02  0.15871501E+01  0.15871501E+01
  0.19243500E+02  0.16685296E+01  0.16685296E+01
  0.19310800E+02  0.17290040E+01  0.17290040E+01
  0.19378100E+02  0.17606616E+01  0.17606616E+01
  0.19445400E+02  0.17671531E+01  0.17671531E+01
  0.19512600E+02  0.17604411E+01  0.17604411E+01
  0.19579900E+02  0.17551221E+01  0.17551221E+01
  0.19647200E+02  0.17605561E+01  0.17605561E+01
  0.19714500E+02  0.17733937E+01  0.17733937E+01
  0.19781800E+02  0.17862748E+01  0.17862748E+01
  0.19849100E+02  0.17932365E+01  0.17932365E+01
  0.19916400E+02  0.17977114E+01  0.17977114E+01
  0.19983600E+02  0.18096706E+01  0.18096706E+01
  0.20050900E+02  0.18417416E+01  0.18417416E+01
  0.20118200E+02  0.19016164E+01  0.19016164E+01
  0.20185500E+02  0.19869513E+01  0.19869513E+01
  0.20252800E+02  0.20847592E+01  0.20847592E+01
  0.20320100E+02  0.21769164E+01  0.21769164E+01
  0.20387300E+02  0.22477107E+01  0.22477107E+01
  0.20454600E+02  0.22919740E+01  0.22919740E+01
  0.20521900E+02  0.23186546E+01  0.23186546E+01
  0.20589200E+02  0.23474862E+01  0.23474862E+01
  0.20656500E+02  0.23943209E+01  0.23943209E+01
  0.20723800E+02  0.24633730E+01  0.24633730E+01
  0.20791100E+02  0.25409216E+01  0.25409216E+01
  0.20858300E+02  0.26013207E+01  0.26013207E+01
