      #Energy        TDOS-UP        TDOS-DOWN
     -19.11279       0.46320      -0.46320
     -19.09679       0.43750      -0.43750
     -19.07979       0.40920      -0.40920
     -19.06279       0.39020      -0.39020
     -19.04579       0.37300      -0.37300
     -19.02979       0.35380      -0.35380
     -19.01279       0.33530      -0.33530
     -18.99579       0.31750      -0.31750
     -18.97879       0.30040      -0.30040
     -18.96279       0.28370      -0.28370
     -18.94579       0.26840      -0.26840
     -18.92879       0.25480      -0.25480
     -18.91179       0.23970      -0.23970
     -18.89579       0.22490      -0.22490
     -18.87879       0.21040      -0.21040
     -18.86179       0.19620      -0.19620
     -18.84479       0.18520      -0.18520
     -18.82779       0.17060      -0.17060
     -18.81179       0.74380      -0.74380
     -18.79479       0.83870      -0.83870
     -18.77779       1.06700      -1.06700
     -18.76079       1.29800      -1.29800
     -18.74479       1.55900      -1.55900
     -18.72779       1.81300      -1.81300
     -18.71079       2.16800      -2.16800
     -18.69379       2.61300      -2.61300
     -18.67779       3.16100      -3.16100
     -18.66079       5.42500      -5.42400
     -18.64379      10.99000     -10.99000
     -18.62679       9.51600      -9.51600
     -18.61079       7.96300      -7.96300
     -18.59379       6.12900      -6.12900
     -18.57679       6.80100      -6.79900
     -18.55979       5.39800      -5.39800
     -18.54279       5.63600      -5.63600
     -18.52679       5.17300      -5.17300
     -18.50979       5.84100      -5.84300
     -18.49279       4.72100      -4.72100
     -18.47579       4.83700      -4.83800
     -18.45979       6.13000      -6.12900
     -18.44279       6.60900      -6.60900
     -18.42579       4.30000      -4.30000
     -18.40879       3.43200      -3.43200
     -18.39279       2.82800      -2.82800
     -18.37579       2.29600      -2.29600
     -18.35879       1.73600      -1.73600
     -18.34179       1.37300      -1.37300
     -18.32579       0.49560      -0.49570
     -18.30879       0.06522      -0.06522
     -18.29179       0.00000       0.00000
     -18.27479       0.00000       0.00000
     -18.25779       0.00000       0.00000
     -18.24179       0.00000       0.00000
     -18.22479       0.00000       0.00000
     -18.20779       0.00000       0.00000
     -18.19079       0.00000       0.00000
     -18.17479       0.00000       0.00000
     -18.15779       0.00000       0.00000
     -18.14079       0.00000       0.00000
     -18.12379       0.00000       0.00000
     -18.10779       0.00000       0.00000
     -18.09079       0.00000       0.00000
     -18.07379       0.00000       0.00000
     -18.05679       0.00000       0.00000
     -18.04079       0.00000       0.00000
     -18.02379       0.00000       0.00000
     -18.00679       0.00000       0.00000
     -17.98979       0.00000       0.00000
     -17.97279       0.00000       0.00000
     -17.95679       0.00000       0.00000
     -17.93979       0.00000       0.00000
     -17.92279       0.00000       0.00000
     -17.90579       0.00000       0.00000
     -17.88979       0.00000       0.00000
     -17.87279       0.00000       0.00000
     -17.85579       0.00000       0.00000
     -17.83879       0.00000       0.00000
     -17.82279       0.00000       0.00000
     -17.80579       0.00000       0.00000
     -17.78879       0.00000       0.00000
     -17.77179       0.00000       0.00000
     -17.75579       0.00000       0.00000
     -17.73879       0.00000       0.00000
     -17.72179       0.00000       0.00000
     -17.70479       0.00000       0.00000
     -17.68779       0.00000       0.00000
     -17.67179       0.00000       0.00000
     -17.65479       0.00000       0.00000
     -17.63779       0.00000       0.00000
     -17.62079       0.00000       0.00000
