  #energy          xx             yy              zz              xy              yz              zx
  0.26381000E+01  0.17854140E+01  0.17854140E+01  0.17854140E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26919000E+01  0.17554176E+01  0.17554176E+01  0.17554176E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27458000E+01  0.17226869E+01  0.17226869E+01  0.17226869E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27996000E+01  0.16952742E+01  0.16952742E+01  0.16952742E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28535000E+01  0.16385691E+01  0.16385691E+01  0.16385691E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29073000E+01  0.15400780E+01  0.15400780E+01  0.15400780E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29611000E+01  0.14379194E+01  0.14379194E+01  0.14379194E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30150000E+01  0.13756256E+01  0.13756256E+01  0.13756256E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30688000E+01  0.13481472E+01  0.13481472E+01  0.13481472E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31227000E+01  0.13291485E+01  0.13291485E+01  0.13291485E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31765000E+01  0.12748015E+01  0.12748015E+01  0.12748015E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32303000E+01  0.11710152E+01  0.11710152E+01  0.11710152E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32842000E+01  0.10963678E+01  0.10963678E+01  0.10963678E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33380000E+01  0.10964761E+01  0.10964761E+01  0.10964761E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33919000E+01  0.11291387E+01  0.11291387E+01  0.11291387E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34457000E+01  0.11337819E+01  0.11337819E+01  0.11337819E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34995000E+01  0.10645886E+01  0.10645886E+01  0.10645886E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35534000E+01  0.96773223E+00  0.96773223E+00  0.96773223E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36072000E+01  0.91216357E+00  0.91216357E+00  0.91216357E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36611000E+01  0.91649065E+00  0.91649065E+00  0.91649065E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37149000E+01  0.93939910E+00  0.93939910E+00  0.93939910E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37687000E+01  0.92431106E+00  0.92431106E+00  0.92431106E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38226000E+01  0.88317889E+00  0.88317889E+00  0.88317889E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38764000E+01  0.87170760E+00  0.87170760E+00  0.87170760E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39302000E+01  0.89369580E+00  0.89369580E+00  0.89369580E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39841000E+01  0.91010106E+00  0.91010106E+00  0.91010106E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40379000E+01  0.92777642E+00  0.92777642E+00  0.92777642E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40918000E+01  0.96148457E+00  0.96148457E+00  0.96148457E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41456000E+01  0.98738566E+00  0.98738566E+00  0.98738566E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41994000E+01  0.98601396E+00  0.98601396E+00  0.98601396E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42533000E+01  0.99295182E+00  0.99295182E+00  0.99295182E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
