 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.29532000E+01  0.48218671E+06  0.48218671E+06  0.48218671E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30147000E+01  0.46790042E+06  0.46790042E+06  0.46790042E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30762000E+01  0.45566990E+06  0.45566990E+06  0.45566990E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31378000E+01  0.43775092E+06  0.43775092E+06  0.43775092E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31993000E+01  0.43090761E+06  0.43090761E+06  0.43090761E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32608000E+01  0.43748907E+06  0.43748907E+06  0.43748907E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33223000E+01  0.43485011E+06  0.43485011E+06  0.43485011E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33839000E+01  0.41559451E+06  0.41559451E+06  0.41559451E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34454000E+01  0.39809457E+06  0.39809457E+06  0.39809457E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35069000E+01  0.39880446E+06  0.39880446E+06  0.39880446E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35684000E+01  0.40831895E+06  0.40831895E+06  0.40831895E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36300000E+01  0.42302379E+06  0.42302379E+06  0.42302379E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36915000E+01  0.45690155E+06  0.45690155E+06  0.45690155E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37530000E+01  0.51018421E+06  0.51018421E+06  0.51018421E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38145000E+01  0.56244909E+06  0.56244909E+06  0.56244909E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38761000E+01  0.58566940E+06  0.58566940E+06  0.58566940E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39376000E+01  0.57103874E+06  0.57103874E+06  0.57103874E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39991000E+01  0.52504945E+06  0.52504945E+06  0.52504945E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40606000E+01  0.47661433E+06  0.47661433E+06  0.47661433E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41222000E+01  0.43833441E+06  0.43833441E+06  0.43833441E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41837000E+01  0.40455594E+06  0.40455594E+06  0.40455594E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42452000E+01  0.38419093E+06  0.38419093E+06  0.38419093E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43067000E+01  0.37027346E+06  0.37027346E+06  0.37027346E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43683000E+01  0.36046096E+06  0.36046096E+06  0.36046096E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44298000E+01  0.35846191E+06  0.35846191E+06  0.35846191E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44913000E+01  0.35839386E+06  0.35839386E+06  0.35839386E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45528000E+01  0.37174873E+06  0.37174873E+06  0.37174873E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46144000E+01  0.40641297E+06  0.40641297E+06  0.40641297E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46759000E+01  0.45506708E+06  0.45506708E+06  0.45506708E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47374000E+01  0.48470447E+06  0.48470447E+06  0.48470447E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47989000E+01  0.48934570E+06  0.48934570E+06  0.48934570E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48605000E+01  0.49030056E+06  0.49030056E+06  0.49030056E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49220000E+01  0.50071307E+06  0.50071307E+06  0.50071307E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49835000E+01  0.52301443E+06  0.52301443E+06  0.52301443E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50450000E+01  0.56067243E+06  0.56067243E+06  0.56067243E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51066000E+01  0.59583039E+06  0.59583039E+06  0.59583039E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
