 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.47975928E+03  0.47253383E+06  0.47253383E+06  0.47253383E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46997533E+03  0.48317663E+06  0.48317663E+06  0.48317663E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46058246E+03  0.48382840E+06  0.48382840E+06  0.48382840E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45154123E+03  0.48388438E+06  0.48388438E+06  0.48388438E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44286395E+03  0.48470254E+06  0.48470254E+06  0.48470254E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43449866E+03  0.47625382E+06  0.47625382E+06  0.47625382E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42645820E+03  0.45517798E+06  0.45517798E+06  0.45517798E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41870991E+03  0.43315848E+06  0.43315848E+06  0.43315848E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41122452E+03  0.42291085E+06  0.42291085E+06  0.42291085E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40401522E+03  0.42248987E+06  0.42248987E+06  0.42248987E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39704164E+03  0.42373346E+06  0.42373346E+06  0.42373346E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39031699E+03  0.41259898E+06  0.41259898E+06  0.41259898E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38381634E+03  0.38557675E+06  0.38557675E+06  0.38557675E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37751718E+03  0.36899582E+06  0.36899582E+06  0.36899582E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37143257E+03  0.37673697E+06  0.37673697E+06  0.37673697E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36553021E+03  0.39436061E+06  0.39436061E+06  0.39436061E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35982294E+03  0.40117653E+06  0.40117653E+06  0.40117653E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35429116E+03  0.38182713E+06  0.38182713E+06  0.38182713E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34891707E+03  0.35348854E+06  0.35348854E+06  0.35348854E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
