 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.25843000E+01  0.46587742E+06  0.46587742E+06  0.46587742E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26381000E+01  0.47739049E+06  0.47739049E+06  0.47739049E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26919000E+01  0.47894202E+06  0.47894202E+06  0.47894202E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27458000E+01  0.47942297E+06  0.47942297E+06  0.47942297E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27996000E+01  0.48103816E+06  0.48103816E+06  0.48103816E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28535000E+01  0.47389947E+06  0.47389947E+06  0.47389947E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29073000E+01  0.45381217E+06  0.45381217E+06  0.45381217E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29611000E+01  0.43155007E+06  0.43155007E+06  0.43155007E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30150000E+01  0.42036946E+06  0.42036946E+06  0.42036946E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30688000E+01  0.41932378E+06  0.41932378E+06  0.41932378E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31227000E+01  0.42067564E+06  0.42067564E+06  0.42067564E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31765000E+01  0.41042612E+06  0.41042612E+06  0.41042612E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32303000E+01  0.38339724E+06  0.38339724E+06  0.38339724E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32842000E+01  0.36494670E+06  0.36494670E+06  0.36494670E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33380000E+01  0.37096170E+06  0.37096170E+06  0.37096170E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33919000E+01  0.38818067E+06  0.38818067E+06  0.38818067E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34457000E+01  0.39595931E+06  0.39595931E+06  0.39595931E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34995000E+01  0.37759947E+06  0.37759947E+06  0.37759947E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35534000E+01  0.34853218E+06  0.34853218E+06  0.34853218E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36072000E+01  0.33349285E+06  0.33349285E+06  0.33349285E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36611000E+01  0.34008166E+06  0.34008166E+06  0.34008166E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37149000E+01  0.35370471E+06  0.35370471E+06  0.35370471E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
