#K-Path  Band-1   Band-2   Band-3   Band-4      ...   Band-n
  0.5163  -15.2458  -15.1983  -15.0598  -13.3087  -13.3087  -13.3058  -13.2143  -12.9738   -2.9699   -1.9274   -1.9274   -1.1620   -0.4612   -0.4612   -0.3110   -0.2327   -0.2067   -0.2067    0.1131    0.1131    0.5097    0.6154    1.4559    1.7492    4.9676    6.5747    6.5747    6.7748
  0.5486  -15.2451  -15.1984  -15.0533  -13.3088  -13.3088  -13.3058  -13.2235  -12.9739   -2.9888   -1.9236   -1.9236   -1.1700   -0.4640   -0.4640   -0.3109   -0.2386   -0.2097   -0.2097    0.1180    0.1180    0.5111    0.6191    1.5459    1.7582    4.9335    6.5724    6.5724    6.6824
  0.5808  -15.2440  -15.1988  -15.0490  -13.3088  -13.3088  -13.3058  -13.2291  -12.9739   -2.9998   -1.9210   -1.9210   -1.1738   -0.4656   -0.4656   -0.3108   -0.2437   -0.2112   -0.2112    0.1224    0.1224    0.5120    0.6211    1.6126    1.7526    4.9141    6.5710    6.5710    6.6246
  0.6131  -15.2439  -15.1987  -15.0477  -13.3089  -13.3089  -13.3058  -13.2310  -12.9739   -3.0036   -1.9202   -1.9202   -1.1755   -0.4663   -0.4663   -0.3108   -0.2449   -0.2119   -0.2119    0.1233    0.1233    0.5123    0.6219    1.6416    1.7440    4.9079    6.5705    6.5705    6.6048
  0.6131  -15.2439  -15.1987  -15.0477  -13.3089  -13.3089  -13.3058  -13.2310  -12.9739   -3.0036   -1.9202   -1.9202   -1.1755   -0.4663   -0.4663   -0.3108   -0.2449   -0.2119   -0.2119    0.1233    0.1233    0.5123    0.6219    1.6416    1.7440    4.9079    6.5705    6.5705    6.6048
  0.6454  -15.2433  -15.1983  -15.0477  -13.3089  -13.3089  -13.3058  -13.2313  -12.9752   -3.0168   -1.9193   -1.9043   -1.1754   -0.4668   -0.4659   -0.3172   -0.2658   -0.2051   -0.1899    0.1209    0.1232    0.5127    0.6216    1.6465    1.7446    4.9104    6.4509    6.5697    6.7168
  0.6777  -15.2425  -15.1968  -15.0481  -13.3090  -13.3089  -13.3059  -13.2324  -12.9788   -3.0546   -1.9170   -1.8595   -1.1760   -0.4686   -0.4660   -0.3327   -0.2970   -0.1888   -0.1571    0.1110    0.1221    0.5140    0.6206    1.6607    1.7452    4.9177    6.3100    6.5670    6.8341
  0.7099  -15.2400  -15.1941  -15.0482  -13.3091  -13.3089  -13.3060  -13.2341  -12.9846   -3.1101   -1.9131   -1.7912   -1.1758   -0.4716   -0.4642   -0.3523   -0.3266   -0.1677   -0.1222    0.0990    0.1208    0.5162    0.6191    1.6853    1.7476    4.9294    6.1656    6.5628    6.9405
  0.7422  -15.2366  -15.1902  -15.0481  -13.3092  -13.3089  -13.3061  -13.2366  -12.9925   -3.1771   -1.9077   -1.7075   -1.1756   -0.4752   -0.4614   -0.3733   -0.3537   -0.1440   -0.0873    0.0829    0.1196    0.5192    0.6170    1.7203    1.7512    4.9443    6.0198    6.5570    7.0342
  0.7745  -15.2336  -15.1844  -15.0481  -13.3094  -13.3089  -13.3063  -13.2400  -13.0021   -3.2507   -1.9011   -1.6127   -1.1758   -0.4801   -0.4582   -0.3945   -0.3788   -0.1204   -0.0528    0.0626    0.1168    0.5229    0.6143    1.7554    1.7647    4.9610    5.8746    6.5497    7.1143
  0.8067  -15.2304  -15.1767  -15.0480  -13.3096  -13.3089  -13.3065  -13.2443  -13.0131   -3.3266   -1.8930   -1.5123   -1.1758   -0.4855   -0.4543   -0.4152   -0.4012   -0.0959   -0.0189    0.0391    0.1150    0.5272    0.6110    1.7612    1.8190    4.9777    5.7320    6.5413    7.1807
  0.8390  -15.2278  -15.1670  -15.0477  -13.3099  -13.3089  -13.3067  -13.2497  -13.0249   -3.4018   -1.8843   -1.4091   -1.1764   -0.4917   -0.4498   -0.4353   -0.4203   -0.0719    0.0126    0.0137    0.1128    0.5320    0.6075    1.7676    1.8828    4.9925    5.5932    6.5319    7.2342
  0.8713  -15.2261  -15.1557  -15.0477  -13.3101  -13.3089  -13.3069  -13.2562  -13.0370   -3.4748   -1.8746   -1.3074   -1.1777   -0.4988   -0.4540   -0.4455   -0.4365   -0.0490   -0.0172    0.0438    0.1103    0.5368    0.6038    1.7748    1.9563    5.0026    5.4595    6.5217    7.2756
  0.9035  -15.2244  -15.1429  -15.0474  -13.3104  -13.3088  -13.3072  -13.2638  -13.0490   -3.5437   -1.8639   -1.2077   -1.1795   -0.5060   -0.4716   -0.4488   -0.4401   -0.0481   -0.0264    0.0728    0.1082    0.5416    0.6006    1.7827    2.0389    5.0057    5.3329    6.5110    7.3065
  0.9358  -15.2232  -15.1295  -15.0472  -13.3106  -13.3088  -13.3074  -13.2726  -13.0605   -3.6082   -1.8530   -1.1822   -1.1121   -0.5136   -0.4878   -0.4587   -0.4347   -0.0812   -0.0053    0.0995    0.1055    0.5457    0.5978    1.7911    2.1291    4.9989    5.2139    6.5002    7.3283
  0.9681  -15.2223  -15.1156  -15.0470  -13.3109  -13.3088  -13.3077  -13.2824  -13.0710   -3.6668   -1.8422   -1.1850   -1.0218   -0.5212   -0.5024   -0.4654   -0.4301   -0.1154    0.0142    0.1034    0.1229    0.5485    0.5963    1.8000    2.2262    4.9813    5.1040    6.4894    7.3429
  1.0003  -15.2214  -15.1018  -15.0466  -13.3111  -13.3088  -13.3079  -13.2929  -13.0802   -3.7193   -1.8314   -1.1882   -0.9375   -0.5287   -0.5156   -0.4692   -0.4252   -0.1498    0.0325    0.1017    0.1442    0.5497    0.5964    1.8089    2.3283    4.9510    5.0043    6.4790    7.3535
  1.0326  -15.2209  -15.0888  -15.0464  -13.3114  -13.3088  -13.3081  -13.3036  -13.0880   -3.7655   -1.8216   -1.1918   -0.8591   -0.5361   -0.5271   -0.4712   -0.4217   -0.1844    0.0481    0.0996    0.1624    0.5490    0.5982    1.8176    2.4325    4.9099    4.9154    6.4692    7.3567
  1.0649  -15.2205  -15.0769  -15.0463  -13.3140  -13.3116  -13.3088  -13.3083  -13.0946   -3.8050   -1.8127   -1.1954   -0.7888   -0.5424   -0.5369   -0.4720   -0.4198   -0.2183    0.0620    0.0981    0.1772    0.5471    0.6009    1.8258    2.5353    4.8385    4.8584    6.4604    7.3522
  1.0972  -15.2200  -15.0663  -15.0461  -13.3235  -13.3118  -13.3088  -13.3085  -13.0997   -3.8375   -1.8049   -1.1984   -0.7238   -0.5482   -0.5449   -0.4713   -0.4207   -0.2497    0.0732    0.0966    0.1899    0.5446    0.6042    1.8332    2.6328    4.7745    4.8028    6.4528    7.3448
  1.1294  -15.2198  -15.0576  -15.0460  -13.3316  -13.3119  -13.3088  -13.3086  -13.1036   -3.8631   -1.7986   -1.2013   -0.6654   -0.5528   -0.5513   -0.4705   -0.4269   -0.2773    0.0823    0.0953    0.1997    0.5421    0.6072    1.8392    2.7185    4.7239    4.7479    6.4467    7.3449
  1.1617  -15.2196  -15.0512  -15.0459  -13.3378  -13.3120  -13.3088  -13.3087  -13.1063   -3.8813   -1.7939   -1.2033   -0.6145   -0.5563   -0.5558   -0.4696   -0.4397   -0.2981    0.0889    0.0945    0.2064    0.5400    0.6097    1.8439    2.7870    4.6873    4.7010    6.4421    7.3486
  1.1940  -15.2196  -15.0475  -15.0461  -13.3417  -13.3121  -13.3088  -13.3088  -13.1079   -3.8926   -1.7912   -1.2051   -0.5737   -0.5587   -0.5586   -0.4695   -0.4575   -0.3105    0.0925    0.0938    0.2107    0.5386    0.6113    1.8465    2.8303    4.6648    4.6689    6.4394    7.3518
  1.2262  -15.2198  -15.0463  -15.0463  -13.3430  -13.3121  -13.3088  -13.3088  -13.1084   -3.8964   -1.7904   -1.2059   -0.5595   -0.5595   -0.5556   -0.4694   -0.4694   -0.3146    0.0935    0.0935    0.2118    0.5380    0.6118    1.8472    2.8451    4.6572    4.6572    6.4384    7.3524
  1.2262  -15.2198  -15.0463  -15.0463  -13.3430  -13.3121  -13.3088  -13.3088  -13.1084   -3.8964   -1.7904   -1.2059   -0.5595   -0.5595   -0.5556   -0.4694   -0.4694   -0.3146    0.0935    0.0935    0.2118    0.5380    0.6118    1.8472    2.8451    4.6572    4.6572    6.4384    7.3524
  1.2719  -15.2196  -15.0475  -15.0473  -13.3403  -13.3121  -13.3088  -13.3088  -13.1074   -3.8889   -1.7921   -1.2046   -0.5885   -0.5581   -0.5575   -0.4742   -0.4450   -0.3070    0.0918    0.0933    0.2094    0.5390    0.6108    1.8455    2.8153    4.6688    4.6836    6.4403    7.3398
  1.3175  -15.2196  -15.0515  -15.0508  -13.3325  -13.3119  -13.3087  -13.3087  -13.1043   -3.8667   -1.7974   -1.2015   -0.6535   -0.5541   -0.5514   -0.4879   -0.4060   -0.2882    0.0876    0.0923    0.2015    0.5417    0.6077    1.8391    2.7293    4.7035    4.7552    6.4458    7.3034
  1.3631  -15.2200  -15.0587  -15.0567  -13.3197  -13.3117  -13.3086  -13.3086  -13.0993   -3.8303   -1.8068   -1.1970   -0.7327   -0.5476   -0.5420   -0.5036   -0.3704   -0.2642    0.0788    0.0896    0.1891    0.5457    0.6026    1.8258    2.5998    4.7590    4.8597    6.4547    7.2551
  1.4088  -15.2205  -15.0681  -15.0646  -13.3114  -13.3085  -13.3085  -13.3024  -13.0925   -3.7796   -1.8191   -1.1907   -0.8227   -0.5385   -0.5293   -0.5161   -0.3392   -0.2392    0.0677    0.0862    0.1728    0.5503    0.5959    1.8024    2.4423    4.8338    4.9840    6.4666    7.2078
