  #energy          xx             yy              zz              xy              yz              zx
  0.34457000E+01  0.22708116E+00  0.22708116E+00  0.22708116E+00             NaN             NaN             NaN
  0.34995000E+01  0.24067635E+00  0.24067635E+00  0.24067635E+00             NaN             NaN             NaN
  0.35534000E+01  0.23489334E+00  0.23489334E+00  0.23489334E+00             NaN             NaN             NaN
  0.36072000E+01  0.21302412E+00  0.21302412E+00  0.21302412E+00             NaN             NaN             NaN
  0.36611000E+01  0.19601733E+00  0.19601733E+00  0.19601733E+00             NaN             NaN             NaN
  0.37149000E+01  0.19215884E+00  0.19215884E+00  0.19215884E+00             NaN             NaN             NaN
  0.37687000E+01  0.19228385E+00  0.19228385E+00  0.19228385E+00             NaN             NaN             NaN
  0.38226000E+01  0.18341648E+00  0.18341648E+00  0.18341648E+00             NaN             NaN             NaN
  0.38764000E+01  0.16986169E+00  0.16986169E+00  0.16986169E+00             NaN             NaN             NaN
  0.39302000E+01  0.16264938E+00  0.16264938E+00  0.16264938E+00             NaN             NaN             NaN
  0.39841000E+01  0.15900045E+00  0.15900045E+00  0.15900045E+00             NaN             NaN             NaN
  0.40379000E+01  0.15459022E+00  0.15459022E+00  0.15459022E+00             NaN             NaN             NaN
  0.40918000E+01  0.15292580E+00  0.15292580E+00  0.15292580E+00             NaN             NaN             NaN
  0.41456000E+01  0.15487951E+00  0.15487951E+00  0.15487951E+00             NaN             NaN             NaN
  0.41994000E+01  0.15490477E+00  0.15490477E+00  0.15490477E+00             NaN             NaN             NaN
  0.42533000E+01  0.15007066E+00  0.15007066E+00  0.15007066E+00             NaN             NaN             NaN
  0.43071000E+01  0.14842592E+00  0.14842592E+00  0.14842592E+00             NaN             NaN             NaN
  0.43610000E+01  0.15531069E+00  0.15531069E+00  0.15531069E+00             NaN             NaN             NaN
  0.44148000E+01  0.16611094E+00  0.16611094E+00  0.16611094E+00             NaN             NaN             NaN
  0.44686000E+01  0.17278664E+00  0.17278664E+00  0.17278664E+00             NaN             NaN             NaN
  0.45225000E+01  0.17135666E+00  0.17135666E+00  0.17135666E+00             NaN             NaN             NaN
  0.45763000E+01  0.16134325E+00  0.16134325E+00  0.16134325E+00             NaN             NaN             NaN
  0.46302000E+01  0.14860940E+00  0.14860940E+00  0.14860940E+00             NaN             NaN             NaN
  0.46840000E+01  0.13771681E+00  0.13771681E+00  0.13771681E+00             NaN             NaN             NaN
  0.47378000E+01  0.12960698E+00  0.12960698E+00  0.12960698E+00             NaN             NaN             NaN
  0.47917000E+01  0.12543438E+00  0.12543438E+00  0.12543438E+00             NaN             NaN             NaN
  0.48455000E+01  0.12292063E+00  0.12292063E+00  0.12292063E+00             NaN             NaN             NaN
  0.48993000E+01  0.12163618E+00  0.12163618E+00  0.12163618E+00             NaN             NaN             NaN
  0.49532000E+01  0.12235514E+00  0.12235514E+00  0.12235514E+00             NaN             NaN             NaN
  0.50070000E+01  0.12424739E+00  0.12424739E+00  0.12424739E+00             NaN             NaN             NaN
  0.50609000E+01  0.12823325E+00  0.12823325E+00  0.12823325E+00             NaN             NaN             NaN
  0.51147000E+01  0.13742930E+00  0.13742930E+00  0.13742930E+00             NaN             NaN             NaN
  0.51685000E+01  0.15626071E+00  0.15626071E+00  0.15626071E+00             NaN             NaN             NaN
  0.52224000E+01  0.18572648E+00  0.18572648E+00  0.18572648E+00             NaN             NaN             NaN
  0.52762000E+01  0.21589809E+00  0.21589809E+00  0.21589809E+00             NaN             NaN             NaN
  0.53301000E+01  0.22895920E+00  0.22895920E+00  0.22895920E+00             NaN             NaN             NaN
  0.53839000E+01  0.22706031E+00  0.22706031E+00  0.22706031E+00             NaN             NaN             NaN
  0.54377000E+01  0.22250479E+00  0.22250479E+00  0.22250479E+00             NaN             NaN             NaN
  0.54916000E+01  0.21992789E+00  0.21992789E+00  0.21992789E+00             NaN             NaN             NaN
  0.55454000E+01  0.22802502E+00  0.22802502E+00  0.22802502E+00             NaN             NaN             NaN
  0.55993000E+01  0.25043414E+00  0.25043414E+00  0.25043414E+00             NaN             NaN             NaN
  0.56531000E+01  0.27414542E+00  0.27414542E+00  0.27414542E+00             NaN             NaN             NaN
  0.57069000E+01  0.28145925E+00  0.28145925E+00  0.28145925E+00             NaN             NaN             NaN
  0.57608000E+01  0.26700667E+00  0.26700667E+00  0.26700667E+00             NaN             NaN             NaN
  0.58146000E+01  0.23796850E+00  0.23796850E+00  0.23796850E+00             NaN             NaN             NaN
  0.58684000E+01  0.20837605E+00  0.20837605E+00  0.20837605E+00             NaN             NaN             NaN
  0.59223000E+01  0.18623201E+00  0.18623201E+00  0.18623201E+00             NaN             NaN             NaN
  0.59761000E+01  0.17578460E+00  0.17578460E+00  0.17578460E+00             NaN             NaN             NaN
  0.60300000E+01  0.17515833E+00  0.17515833E+00  0.17515833E+00             NaN             NaN             NaN
