  #energy          xx             yy              zz              xy              yz              zx
  0.40812000E+01  0.29173295E-01  0.17752925E-01  0.13943709E+00  0.59545457E+00  0.10000000E+01  0.10000000E+01
  0.41645000E+01  0.30683579E-01  0.14680968E-01  0.14574908E+00  0.63081711E+00  0.10000000E+01  0.10000000E+01
  0.42478000E+01  0.32696525E-01  0.13772173E-01  0.14502814E+00  0.69712555E+00  0.10000000E+01  0.10000000E+01
  0.43311000E+01  0.35370399E-01  0.14302948E-01  0.13900325E+00  0.83177215E+00  0.10000000E+01  0.10000000E+01
  0.44144000E+01  0.38642817E-01  0.15419681E-01  0.13118963E+00  0.88931757E+00  0.10000000E+01  0.10000000E+01
  0.44977000E+01  0.42165551E-01  0.16683767E-01  0.12391053E+00  0.86292649E+00  0.10000000E+01  0.10000000E+01
  0.45809000E+01  0.45518669E-01  0.18350074E-01  0.11818870E+00  0.87225593E+00  0.10000000E+01  0.10000000E+01
  0.46642000E+01  0.48610046E-01  0.21158871E-01  0.11582680E+00  0.90760773E+00  0.10000000E+01  0.10000000E+01
  0.47475000E+01  0.51945080E-01  0.25815703E-01  0.11867070E+00  0.95340811E+00  0.10000000E+01  0.10000000E+01
  0.48308000E+01  0.56488676E-01  0.32690298E-01  0.12623890E+00  0.99649364E+00  0.10000000E+01  0.10000000E+01
  0.49141000E+01  0.63182842E-01  0.42160913E-01  0.13604345E+00  0.96285819E+00  0.10000000E+01  0.10000000E+01
  0.49974000E+01  0.72499958E-01  0.54947568E-01  0.14554183E+00  0.90815670E+00  0.10000000E+01  0.10000000E+01
  0.50807000E+01  0.84082956E-01  0.71553582E-01  0.15323943E+00  0.82561886E+00  0.10000000E+01  0.10000000E+01
  0.51640000E+01  0.96518500E-01  0.91364718E-01  0.15820000E+00  0.71384097E+00  0.10000000E+01  0.10000000E+01
  0.52473000E+01  0.10767794E+00  0.11266038E+00  0.15877608E+00  0.58848822E+00  0.10000000E+01  0.10000000E+01
  0.53306000E+01  0.11556712E+00  0.13320869E+00  0.15222427E+00  0.46941399E+00  0.10000000E+01  0.10000000E+01
  0.54138000E+01  0.11958677E+00  0.15075779E+00  0.13596169E+00  0.36826853E+00  0.10000000E+01  0.10000000E+01
  0.54971000E+01  0.12210709E+00  0.16362361E+00  0.11019619E+00  0.28639148E+00  0.10000000E+01  0.10000000E+01
  0.55804000E+01  0.12840003E+00  0.17147934E+00  0.79654645E-01  0.21921147E+00  0.10000000E+01  0.10000000E+01
  0.56637000E+01  0.14290509E+00  0.17586992E+00  0.52412619E-01  0.16363653E+00  0.10000000E+01  0.10000000E+01
  0.57470000E+01  0.16589467E+00  0.17886383E+00  0.34375840E-01  0.12108182E+00  0.10000000E+01  0.10000000E+01
  0.58303000E+01  0.19480568E+00  0.18072135E+00  0.25684770E-01  0.94695363E-01  0.10000000E+01  0.10000000E+01
  0.59136000E+01  0.22673294E+00  0.17985249E+00  0.23216513E-01  0.86784474E-01  0.10000000E+01  0.10000000E+01
