  #energy          xx             yy              zz              xy              yz              zx
  0.39376000E+01  0.24282447E+00  0.24282447E+00  0.24282447E+00             NaN             NaN             NaN
  0.39991000E+01  0.28675082E+00  0.28675082E+00  0.28675082E+00             NaN             NaN             NaN
  0.40606000E+01  0.31655269E+00  0.31655269E+00  0.31655269E+00             NaN             NaN             NaN
  0.41222000E+01  0.32725786E+00  0.32725786E+00  0.32725786E+00             NaN             NaN             NaN
  0.41837000E+01  0.31930957E+00  0.31930957E+00  0.31930957E+00             NaN             NaN             NaN
  0.42452000E+01  0.29628528E+00  0.29628528E+00  0.29628528E+00             NaN             NaN             NaN
  0.43067000E+01  0.27358172E+00  0.27358172E+00  0.27358172E+00             NaN             NaN             NaN
  0.43683000E+01  0.24844595E+00  0.24844595E+00  0.24844595E+00             NaN             NaN             NaN
  0.44298000E+01  0.22603596E+00  0.22603596E+00  0.22603596E+00             NaN             NaN             NaN
  0.44913000E+01  0.20470125E+00  0.20470125E+00  0.20470125E+00             NaN             NaN             NaN
  0.45528000E+01  0.18450506E+00  0.18450506E+00  0.18450506E+00             NaN             NaN             NaN
  0.46144000E+01  0.17318351E+00  0.17318351E+00  0.17318351E+00             NaN             NaN             NaN
  0.46759000E+01  0.17453941E+00  0.17453941E+00  0.17453941E+00             NaN             NaN             NaN
  0.47374000E+01  0.18386918E+00  0.18386918E+00  0.18386918E+00             NaN             NaN             NaN
  0.47989000E+01  0.18946968E+00  0.18946968E+00  0.18946968E+00             NaN             NaN             NaN
  0.48605000E+01  0.18735547E+00  0.18735547E+00  0.18735547E+00             NaN             NaN             NaN
  0.49220000E+01  0.18209558E+00  0.18209558E+00  0.18209558E+00             NaN             NaN             NaN
  0.49835000E+01  0.17704870E+00  0.17704870E+00  0.17704870E+00             NaN             NaN             NaN
  0.50450000E+01  0.17632004E+00  0.17632004E+00  0.17632004E+00             NaN             NaN             NaN
  0.51066000E+01  0.18293840E+00  0.18293840E+00  0.18293840E+00             NaN             NaN             NaN
  0.51681000E+01  0.19239602E+00  0.19239602E+00  0.19239602E+00             NaN             NaN             NaN
  0.52296000E+01  0.19851086E+00  0.19851086E+00  0.19851086E+00             NaN             NaN             NaN
  0.52911000E+01  0.20455019E+00  0.20455019E+00  0.20455019E+00             NaN             NaN             NaN
  0.53527000E+01  0.22017841E+00  0.22017841E+00  0.22017841E+00             NaN             NaN             NaN
  0.54142000E+01  0.24006151E+00  0.24006151E+00  0.24006151E+00             NaN             NaN             NaN
  0.54757000E+01  0.23952377E+00  0.23952377E+00  0.23952377E+00             NaN             NaN             NaN
  0.55372000E+01  0.21826667E+00  0.21826667E+00  0.21826667E+00             NaN             NaN             NaN
  0.55988000E+01  0.19656934E+00  0.19656934E+00  0.19656934E+00             NaN             NaN             NaN
  0.56603000E+01  0.18337738E+00  0.18337738E+00  0.18337738E+00             NaN             NaN             NaN
  0.57218000E+01  0.17967904E+00  0.17967904E+00  0.17967904E+00             NaN             NaN             NaN
  0.57833000E+01  0.18471857E+00  0.18471857E+00  0.18471857E+00             NaN             NaN             NaN
  0.58449000E+01  0.19693198E+00  0.19693198E+00  0.19693198E+00             NaN             NaN             NaN
  0.59064000E+01  0.20966686E+00  0.20966686E+00  0.20966686E+00             NaN             NaN             NaN
  0.59679000E+01  0.21410005E+00  0.21410005E+00  0.21410005E+00             NaN             NaN             NaN
  0.60294000E+01  0.21134276E+00  0.21134276E+00  0.21134276E+00             NaN             NaN             NaN
  0.60910000E+01  0.20519838E+00  0.20519838E+00  0.20519838E+00             NaN             NaN             NaN
  0.61525000E+01  0.19965686E+00  0.19965686E+00  0.19965686E+00             NaN             NaN             NaN
  0.62140000E+01  0.19836748E+00  0.19836748E+00  0.19836748E+00             NaN             NaN             NaN
  0.62755000E+01  0.20006261E+00  0.20006261E+00  0.20006261E+00             NaN             NaN             NaN
  0.63371000E+01  0.20290988E+00  0.20290988E+00  0.20290988E+00             NaN             NaN             NaN
  0.63986000E+01  0.21034773E+00  0.21034773E+00  0.21034773E+00             NaN             NaN             NaN
  0.64601000E+01  0.22472403E+00  0.22472403E+00  0.22472403E+00             NaN             NaN             NaN
  0.65216000E+01  0.23800657E+00  0.23800657E+00  0.23800657E+00             NaN             NaN             NaN
  0.65832000E+01  0.23981408E+00  0.23981408E+00  0.23981408E+00             NaN             NaN             NaN
  0.66447000E+01  0.23350691E+00  0.23350691E+00  0.23350691E+00             NaN             NaN             NaN
  0.67062000E+01  0.22752186E+00  0.22752186E+00  0.22752186E+00             NaN             NaN             NaN
  0.67677000E+01  0.23020583E+00  0.23020583E+00  0.23020583E+00             NaN             NaN             NaN
  0.68293000E+01  0.24297171E+00  0.24297171E+00  0.24297171E+00             NaN             NaN             NaN
  0.68908000E+01  0.25325899E+00  0.25325899E+00  0.25325899E+00             NaN             NaN             NaN
  0.69523000E+01  0.25125621E+00  0.25125621E+00  0.25125621E+00             NaN             NaN             NaN
  0.70138000E+01  0.24303837E+00  0.24303837E+00  0.24303837E+00             NaN             NaN             NaN
  0.70754000E+01  0.23633460E+00  0.23633460E+00  0.23633460E+00             NaN             NaN             NaN
  0.71369000E+01  0.23486789E+00  0.23486789E+00  0.23486789E+00             NaN             NaN             NaN
