   #Energy      xx(%)           yy(%)
  0.76032000E+01  0.97285950E-02  0.97285950E-02
  0.76705000E+01  0.97425770E-02  0.97425770E-02
  0.77378000E+01  0.96790029E-02  0.96790029E-02
  0.78051000E+01  0.99641016E-02  0.99641016E-02
  0.78723000E+01  0.10821294E-01  0.10821294E-01
  0.79396000E+01  0.12113448E-01  0.12113448E-01
  0.80069000E+01  0.13454633E-01  0.13454633E-01
  0.80742000E+01  0.14506069E-01  0.14506069E-01
  0.81415000E+01  0.15263784E-01  0.15263784E-01
  0.82088000E+01  0.16039380E-01  0.16039380E-01
  0.82761000E+01  0.17163403E-01  0.17163403E-01
  0.83433000E+01  0.18619212E-01  0.18619212E-01
  0.84106000E+01  0.19950778E-01  0.19950778E-01
  0.84779000E+01  0.20497019E-01  0.20497019E-01
  0.85452000E+01  0.19814082E-01  0.19814082E-01
  0.86125000E+01  0.17931215E-01  0.17931215E-01
  0.86798000E+01  0.15326894E-01  0.15326894E-01
  0.87470000E+01  0.12634770E-01  0.12634770E-01
  0.88143000E+01  0.10387696E-01  0.10387696E-01
  0.88816000E+01  0.88506596E-02  0.88506596E-02
  0.89489000E+01  0.80331990E-02  0.80331990E-02
  0.90162000E+01  0.77571571E-02  0.77571571E-02
  0.90835000E+01  0.77842392E-02  0.77842392E-02
  0.91508000E+01  0.79000317E-02  0.79000317E-02
  0.92180000E+01  0.79554897E-02  0.79554897E-02
  0.92853000E+01  0.78589966E-02  0.78589966E-02
  0.93526000E+01  0.75769387E-02  0.75769387E-02
  0.94199000E+01  0.71317755E-02  0.71317755E-02
  0.94872000E+01  0.66099634E-02  0.66099634E-02
  0.95545000E+01  0.61128016E-02  0.61128016E-02
  0.96218000E+01  0.57168246E-02  0.57168246E-02
  0.96890000E+01  0.54742090E-02  0.54742090E-02
  0.97563000E+01  0.54458875E-02  0.54458875E-02
  0.98236000E+01  0.57368114E-02  0.57368114E-02
  0.98909000E+01  0.64424742E-02  0.64424742E-02
  0.99582000E+01  0.75577544E-02  0.75577544E-02
  0.10025500E+02  0.88789530E-02  0.88789530E-02
  0.10092700E+02  0.10022341E-01  0.10022341E-01
  0.10160000E+02  0.10585639E-01  0.10585639E-01
  0.10227300E+02  0.10356556E-01  0.10356556E-01
  0.10294600E+02  0.94095559E-02  0.94095559E-02
  0.10361900E+02  0.80519669E-02  0.80519669E-02
  0.10429200E+02  0.66781822E-02  0.66781822E-02
  0.10496500E+02  0.56187030E-02  0.56187030E-02
  0.10563700E+02  0.51042415E-02  0.51042415E-02
  0.10631000E+02  0.53034153E-02  0.53034153E-02
  0.10698300E+02  0.63563779E-02  0.63563779E-02
  0.10765600E+02  0.83522299E-02  0.83522299E-02
  0.10832900E+02  0.11217114E-01  0.11217114E-01
  0.10900200E+02  0.14592098E-01  0.14592098E-01
  0.10967400E+02  0.17835602E-01  0.17835602E-01
  0.11034700E+02  0.20245895E-01  0.20245895E-01
  0.11102000E+02  0.21388100E-01  0.21388100E-01
  0.11169300E+02  0.21281615E-01  0.21281615E-01
  0.11236600E+02  0.20343809E-01  0.20343809E-01
  0.11303900E+02  0.19111700E-01  0.19111700E-01
  0.11371200E+02  0.17979134E-01  0.17979134E-01
  0.11438400E+02  0.17045466E-01  0.17045466E-01
  0.11505700E+02  0.16163225E-01  0.16163225E-01
  0.11573000E+02  0.15108021E-01  0.15108021E-01
  0.11640300E+02  0.13733946E-01  0.13733946E-01
  0.11707600E+02  0.12090446E-01  0.12090446E-01
  0.11774900E+02  0.10419022E-01  0.10419022E-01
  0.11842200E+02  0.90217883E-02  0.90217883E-02
  0.11909400E+02  0.81822495E-02  0.81822495E-02
  0.11976700E+02  0.80826878E-02  0.80826878E-02
  0.12044000E+02  0.88509628E-02  0.88509628E-02
  0.12111300E+02  0.10543498E-01  0.10543498E-01
  0.12178600E+02  0.13075547E-01  0.13075547E-01
  0.12245900E+02  0.16053441E-01  0.16053441E-01
  0.12313100E+02  0.18796350E-01  0.18796350E-01
  0.12380400E+02  0.20590824E-01  0.20590824E-01
  0.12447700E+02  0.21085123E-01  0.21085123E-01
  0.12515000E+02  0.20488407E-01  0.20488407E-01
  0.12582300E+02  0.19467967E-01  0.19467967E-01
  0.12649600E+02  0.18768550E-01  0.18768550E-01
  0.12716900E+02  0.18916870E-01  0.18916870E-01
  0.12784100E+02  0.20011629E-01  0.20011629E-01
  0.12851400E+02  0.21746721E-01  0.21746721E-01
  0.12918700E+02  0.23548981E-01  0.23548981E-01
  0.12986000E+02  0.24837642E-01  0.24837642E-01
  0.13053300E+02  0.25279788E-01  0.25279788E-01
  0.13120600E+02  0.24848861E-01  0.24848861E-01
  0.13187900E+02  0.23784230E-01  0.23784230E-01
  0.13255100E+02  0.22445807E-01  0.22445807E-01
  0.13322400E+02  0.21240527E-01  0.21240527E-01
  0.13389700E+02  0.20485739E-01  0.20485739E-01
  0.13457000E+02  0.20291789E-01  0.20291789E-01
  0.13524300E+02  0.20484624E-01  0.20484624E-01
  0.13591600E+02  0.20702143E-01  0.20702143E-01
  0.13658800E+02  0.20547787E-01  0.20547787E-01
  0.13726100E+02  0.19780319E-01  0.19780319E-01
  0.13793400E+02  0.18412879E-01  0.18412879E-01
  0.13860700E+02  0.16651814E-01  0.16651814E-01
  0.13928000E+02  0.14810432E-01  0.14810432E-01
  0.13995300E+02  0.13154363E-01  0.13154363E-01
  0.14062600E+02  0.11848171E-01  0.11848171E-01
  0.14129800E+02  0.10929785E-01  0.10929785E-01
  0.14197100E+02  0.10368834E-01  0.10368834E-01
  0.14264400E+02  0.10109108E-01  0.10109108E-01
  0.14331700E+02  0.10094053E-01  0.10094053E-01
  0.14399000E+02  0.10261259E-01  0.10261259E-01
  0.14466300E+02  0.10521680E-01  0.10521680E-01
  0.14533600E+02  0.10753020E-01  0.10753020E-01
  0.14600800E+02  0.10905668E-01  0.10905668E-01
  0.14668100E+02  0.11103882E-01  0.11103882E-01
  0.14735400E+02  0.11695014E-01  0.11695014E-01
  0.14802700E+02  0.13166923E-01  0.13166923E-01
  0.14870000E+02  0.15947704E-01  0.15947704E-01
  0.14937300E+02  0.20190468E-01  0.20190468E-01
  0.15004500E+02  0.25521459E-01  0.25521459E-01
  0.15071800E+02  0.31012522E-01  0.31012522E-01
  0.15139100E+02  0.35417795E-01  0.35417795E-01
  0.15206400E+02  0.37664632E-01  0.37664632E-01
  0.15273700E+02  0.37288066E-01  0.37288066E-01
  0.15341000E+02  0.34613006E-01  0.34613006E-01
  0.15408300E+02  0.30491715E-01  0.30491715E-01
  0.15475500E+02  0.25961476E-01  0.25961476E-01
  0.15542800E+02  0.21810750E-01  0.21810750E-01
  0.15610100E+02  0.18452640E-01  0.18452640E-01
  0.15677400E+02  0.15942808E-01  0.15942808E-01
  0.15744700E+02  0.14169762E-01  0.14169762E-01
  0.15812000E+02  0.12965690E-01  0.12965690E-01
  0.15879300E+02  0.12160393E-01  0.12160393E-01
  0.15946500E+02  0.11619944E-01  0.11619944E-01
  0.16013800E+02  0.11239533E-01  0.11239533E-01
  0.16081100E+02  0.10994058E-01  0.10994058E-01
  0.16148400E+02  0.10879304E-01  0.10879304E-01
  0.16215700E+02  0.10887244E-01  0.10887244E-01
  0.16283000E+02  0.10964257E-01  0.10964257E-01
  0.16350200E+02  0.11039324E-01  0.11039324E-01
  0.16417500E+02  0.11061599E-01  0.11061599E-01
  0.16484800E+02  0.11041057E-01  0.11041057E-01
  0.16552100E+02  0.11041390E-01  0.11041390E-01
  0.16619400E+02  0.11115241E-01  0.11115241E-01
  0.16686700E+02  0.11276720E-01  0.11276720E-01
  0.16754000E+02  0.11496755E-01  0.11496755E-01
  0.16821200E+02  0.11713333E-01  0.11713333E-01
  0.16888500E+02  0.11864434E-01  0.11864434E-01
  0.16955800E+02  0.11883688E-01  0.11883688E-01
  0.17023100E+02  0.11767841E-01  0.11767841E-01
  0.17090400E+02  0.11591112E-01  0.11591112E-01
  0.17157700E+02  0.11508017E-01  0.11508017E-01
  0.17225000E+02  0.11662410E-01  0.11662410E-01
  0.17292200E+02  0.12058220E-01  0.12058220E-01
  0.17359500E+02  0.12575735E-01  0.12575735E-01
  0.17426800E+02  0.12990296E-01  0.12990296E-01
  0.17494100E+02  0.13142016E-01  0.13142016E-01
  0.17561400E+02  0.13049364E-01  0.13049364E-01
  0.17628700E+02  0.12829713E-01  0.12829713E-01
  0.17695900E+02  0.12625398E-01  0.12625398E-01
  0.17763200E+02  0.12479660E-01  0.12479660E-01
