   #Energy      xx(%)           yy(%)
  0.94118000E+01  0.92647887E+02  0.93529532E+02
  0.94951000E+01  0.93582623E+02  0.93519540E+02
  0.95783000E+01  0.94402546E+02  0.93845538E+02
  0.96616000E+01  0.95138322E+02  0.94318133E+02
  0.97449000E+01  0.95775946E+02  0.94759854E+02
  0.98282000E+01  0.96315240E+02  0.95071730E+02
  0.99115000E+01  0.96766648E+02  0.95233185E+02
  0.99948000E+01  0.97139284E+02  0.95267816E+02
  0.10078100E+02  0.97430589E+02  0.95200179E+02
  0.10161400E+02  0.97634447E+02  0.95055114E+02
  0.10244700E+02  0.97747958E+02  0.94885065E+02
  0.10328000E+02  0.97780537E+02  0.94782484E+02
  0.10411200E+02  0.97755293E+02  0.94827667E+02
  0.10494500E+02  0.97701084E+02  0.95017351E+02
  0.10577800E+02  0.97630661E+02  0.95234626E+02
  0.10661100E+02  0.97533793E+02  0.95332603E+02
  0.10744400E+02  0.97388674E+02  0.95256521E+02
  0.10827700E+02  0.97184627E+02  0.95100618E+02
  0.10911000E+02  0.96924017E+02  0.95025239E+02
  0.10994300E+02  0.96624536E+02  0.95123373E+02
  0.11077600E+02  0.96317303E+02  0.95348335E+02
  0.11160900E+02  0.96045655E+02  0.95574195E+02
  0.11244100E+02  0.95856256E+02  0.95732687E+02
  0.11327400E+02  0.95785015E+02  0.95859857E+02
  0.11410700E+02  0.95838955E+02  0.96032059E+02
  0.11494000E+02  0.95990264E+02  0.96284058E+02
  0.11577300E+02  0.96185573E+02  0.96587067E+02
  0.11660600E+02  0.96371560E+02  0.96880350E+02
  0.11743900E+02  0.96515922E+02  0.97110741E+02
  0.11827200E+02  0.96615339E+02  0.97263807E+02
  0.11910500E+02  0.96685174E+02  0.97369684E+02
  0.11993800E+02  0.96749538E+02  0.97471902E+02
  0.12077000E+02  0.96830750E+02  0.97594808E+02
  0.12160300E+02  0.96937440E+02  0.97732595E+02
  0.12243600E+02  0.97062430E+02  0.97859737E+02
  0.12326900E+02  0.97201014E+02  0.97953993E+02
  0.12410200E+02  0.97350591E+02  0.98014971E+02
  0.12493500E+02  0.97505471E+02  0.98061546E+02
  0.12576800E+02  0.97655014E+02  0.98110353E+02
  0.12660100E+02  0.97802723E+02  0.98155405E+02
  0.12743400E+02  0.97954024E+02  0.98174840E+02
  0.12826700E+02  0.98099040E+02  0.98158590E+02
  0.12909900E+02  0.98209142E+02  0.98112184E+02
  0.12993200E+02  0.98259960E+02  0.98051662E+02
  0.13076500E+02  0.98254491E+02  0.97993548E+02
  0.13159800E+02  0.98213096E+02  0.97949938E+02
  0.13243100E+02  0.98165029E+02  0.97927584E+02
  0.13326400E+02  0.98132252E+02  0.97930982E+02
  0.13409700E+02  0.98133191E+02  0.97955794E+02
  0.13493000E+02  0.98181131E+02  0.97994270E+02
  0.13576300E+02  0.98270786E+02  0.98036773E+02
  0.13659600E+02  0.98367434E+02  0.98076698E+02
  0.13742800E+02  0.98430633E+02  0.98113969E+02
  0.13826100E+02  0.98445680E+02  0.98150169E+02
  0.13909400E+02  0.98425909E+02  0.98175967E+02
  0.13992700E+02  0.98387843E+02  0.98164659E+02
  0.14076000E+02  0.98327841E+02  0.98096661E+02
  0.14159300E+02  0.98234330E+02  0.97975436E+02
  0.14242600E+02  0.98102440E+02  0.97821135E+02
  0.14325900E+02  0.97941240E+02  0.97651678E+02
  0.14409200E+02  0.97774870E+02  0.97491283E+02
  0.14492500E+02  0.97633104E+02  0.97393193E+02
  0.14575700E+02  0.97537433E+02  0.97418689E+02
  0.14659000E+02  0.97493875E+02  0.97573707E+02
  0.14742300E+02  0.97491839E+02  0.97787518E+02
  0.14825600E+02  0.97516043E+02  0.97965199E+02
  0.14908900E+02  0.97546297E+02  0.98056497E+02
  0.14992200E+02  0.97567274E+02  0.98063030E+02
  0.15075500E+02  0.97569592E+02  0.98008061E+02
  0.15158800E+02  0.97553737E+02  0.97899931E+02
  0.15242100E+02  0.97527614E+02  0.97724203E+02
  0.15325400E+02  0.97502092E+02  0.97450891E+02
  0.15408600E+02  0.97497606E+02  0.97058946E+02
  0.15491900E+02  0.97538840E+02  0.96585284E+02
  0.15575200E+02  0.97634455E+02  0.96162017E+02
  0.15658500E+02  0.97764977E+02  0.95967279E+02
  0.15741800E+02  0.97894919E+02  0.96089609E+02
  0.15825100E+02  0.98001932E+02  0.96444455E+02
  0.15908400E+02  0.98079526E+02  0.96841725E+02
  0.15991700E+02  0.98128939E+02  0.97132039E+02
  0.16075000E+02  0.98150560E+02  0.97277828E+02
  0.16158300E+02  0.98148794E+02  0.97321281E+02
  0.16241500E+02  0.98128232E+02  0.97319226E+02
  0.16324800E+02  0.98089592E+02  0.97297403E+02
  0.16408100E+02  0.98020658E+02  0.97233695E+02
  0.16491400E+02  0.97911026E+02  0.97067126E+02
  0.16574700E+02  0.97752242E+02  0.96739936E+02
  0.16658000E+02  0.97553998E+02  0.96265079E+02
  0.16741300E+02  0.97349363E+02  0.95763438E+02
  0.16824600E+02  0.97173697E+02  0.95408331E+02
  0.16907900E+02  0.97026261E+02  0.95302315E+02
  0.16991200E+02  0.96851501E+02  0.95386703E+02
  0.17074400E+02  0.96586257E+02  0.95488523E+02
  0.17157700E+02  0.96214013E+02  0.95432686E+02
  0.17241000E+02  0.95794577E+02  0.95132461E+02
  0.17324300E+02  0.95447701E+02  0.94641588E+02
  0.17407600E+02  0.95317083E+02  0.94135051E+02
  0.17490900E+02  0.95483304E+02  0.93785696E+02
  0.17574200E+02  0.95908884E+02  0.93646815E+02
  0.17657500E+02  0.96440773E+02  0.93660859E+02
  0.17740800E+02  0.96921941E+02  0.93764837E+02
  0.17824100E+02  0.97290900E+02  0.93956412E+02
  0.17907300E+02  0.97570880E+02  0.94278964E+02
  0.17990600E+02  0.97789617E+02  0.94757396E+02
  0.18073900E+02  0.97941085E+02  0.95340509E+02
  0.18157200E+02  0.98012466E+02  0.95910628E+02
  0.18240500E+02  0.98014215E+02  0.96354457E+02
  0.18323800E+02  0.97977515E+02  0.96632565E+02
  0.18407100E+02  0.97942261E+02  0.96785106E+02
  0.18490400E+02  0.97932318E+02  0.96895263E+02
  0.18573700E+02  0.97949424E+02  0.97025055E+02
  0.18656900E+02  0.97975952E+02  0.97189004E+02
  0.18740200E+02  0.97992635E+02  0.97350939E+02
  0.18823500E+02  0.97993506E+02  0.97469739E+02
  0.18906800E+02  0.97980551E+02  0.97523626E+02
  0.18990100E+02  0.97972000E+02  0.97518154E+02
  0.19073400E+02  0.97986514E+02  0.97472074E+02
  0.19156700E+02  0.98032729E+02  0.97402349E+02
  0.19240000E+02  0.98105433E+02  0.97305388E+02
  0.19323300E+02  0.98178013E+02  0.97147371E+02
  0.19406600E+02  0.98227895E+02  0.96867540E+02
  0.19489800E+02  0.98236744E+02  0.96402318E+02
  0.19573100E+02  0.98197896E+02  0.95761603E+02
  0.19656400E+02  0.98101188E+02  0.95110020E+02
  0.19739700E+02  0.97925721E+02  0.94729932E+02
  0.19823000E+02  0.97650753E+02  0.94816645E+02
  0.19906300E+02  0.97269219E+02  0.95308450E+02
  0.19989600E+02  0.96830664E+02  0.95955790E+02
  0.20072900E+02  0.96432818E+02  0.96541152E+02
  0.20156200E+02  0.96193669E+02  0.96990862E+02
