   #Energy      xx              yy   
  0.76032000E+01  0.84724918E+00  0.84724918E+00
  0.76705000E+01  0.85196840E+00  0.85196840E+00
  0.77378000E+01  0.84857553E+00  0.84857553E+00
  0.78051000E+01  0.85684014E+00  0.85684014E+00
  0.78723000E+01  0.88900606E+00  0.88900606E+00
  0.79396000E+01  0.94157134E+00  0.94157134E+00
  0.80069000E+01  0.99888940E+00  0.99888940E+00
  0.80742000E+01  0.10455135E+01  0.10455135E+01
  0.81415000E+01  0.10791267E+01  0.10791267E+01
  0.82088000E+01  0.11108271E+01  0.11108271E+01
  0.82761000E+01  0.11533063E+01  0.11533063E+01
  0.83433000E+01  0.12056698E+01  0.12056698E+01
  0.84106000E+01  0.12495002E+01  0.12495002E+01
  0.84779000E+01  0.12588262E+01  0.12588262E+01
  0.85452000E+01  0.12177141E+01  0.12177141E+01
  0.86125000E+01  0.11304351E+01  0.11304351E+01
  0.86798000E+01  0.10192266E+01  0.10192266E+01
  0.87470000E+01  0.91090178E+00  0.91090178E+00
  0.88143000E+01  0.82625906E+00  0.82625906E+00
  0.88816000E+01  0.77381726E+00  0.77381726E+00
  0.89489000E+01  0.75140068E+00  0.75140068E+00
  0.90162000E+01  0.74969858E+00  0.74969858E+00
  0.90835000E+01  0.75776388E+00  0.75776388E+00
  0.91508000E+01  0.76648766E+00  0.76648766E+00
  0.92180000E+01  0.76981942E+00  0.76981942E+00
  0.92853000E+01  0.76439667E+00  0.76439667E+00
  0.93526000E+01  0.74949153E+00  0.74949153E+00
  0.94199000E+01  0.72693003E+00  0.72693003E+00
  0.94872000E+01  0.70139004E+00  0.70139004E+00
  0.95545000E+01  0.67779491E+00  0.67779491E+00
  0.96218000E+01  0.65957346E+00  0.65957346E+00
  0.96890000E+01  0.64892538E+00  0.64892538E+00
  0.97563000E+01  0.64857049E+00  0.64857049E+00
  0.98236000E+01  0.66361506E+00  0.66361506E+00
  0.98909000E+01  0.69874624E+00  0.69874624E+00
  0.99582000E+01  0.75391991E+00  0.75391991E+00
  0.10025500E+02  0.81942742E+00  0.81942742E+00
  0.10092700E+02  0.87670610E+00  0.87670610E+00
  0.10160000E+02  0.90602856E+00  0.90602856E+00
  0.10227300E+02  0.89662301E+00  0.89662301E+00
  0.10294600E+02  0.85156676E+00  0.85156676E+00
  0.10361900E+02  0.78518761E+00  0.78518761E+00
  0.10429200E+02  0.71586569E+00  0.71586569E+00
  0.10496500E+02  0.65878027E+00  0.65878027E+00
  0.10563700E+02  0.62411061E+00  0.62411061E+00
  0.10631000E+02  0.61905559E+00  0.61905559E+00
  0.10698300E+02  0.64975482E+00  0.64975482E+00
  0.10765600E+02  0.72078730E+00  0.72078730E+00
  0.10832900E+02  0.83106260E+00  0.83106260E+00
  0.10900200E+02  0.96796233E+00  0.96796233E+00
  0.10967400E+02  0.11062303E+01  0.11062303E+01
  0.11034700E+02  0.12162586E+01  0.12162586E+01
  0.11102000E+02  0.12774976E+01  0.12774976E+01
  0.11169300E+02  0.12878986E+01  0.12878986E+01
  0.11236600E+02  0.12623127E+01  0.12623127E+01
  0.11303900E+02  0.12216031E+01  0.12216031E+01
  0.11371200E+02  0.11816067E+01  0.11816067E+01
  0.11438400E+02  0.11468711E+01  0.11468711E+01
  0.11505700E+02  0.11123066E+01  0.11123066E+01
  0.11573000E+02  0.10697869E+01  0.10697869E+01
  0.11640300E+02  0.10144351E+01  0.10144351E+01
