1.093  0.995788  0.995791  0.995794  0.995798  0.995801  
1.094  0.995701  0.995704  0.995708  0.995711  0.995714  
1.095  0.995613  0.995617  0.99562  0.995623  0.995627  
1.096  0.995525  0.995528  0.995532  0.995535  0.995539  
1.097  0.995435  0.995439  0.995442  0.995446  0.995449  
1.098  0.995345  0.995348  0.995352  0.995356  0.99536  
1.099  0.995253  0.995257  0.995261  0.995265  0.995269  
1.1  0.995161  0.995165  0.995169  0.995173  0.995178  
1.101  0.995068  0.995073  0.995077  0.995081  0.995085  
1.102  0.994974  0.994979  0.994983  0.994988  0.994992  
1.103  0.99488  0.994885  0.994889  0.994894  0.994898  
1.104  0.994784  0.994789  0.994794  0.994799  0.994804  
1.105  0.994688  0.994693  0.994698  0.994703  0.994708  
1.106  0.994591  0.994596  0.994601  0.994607  0.994612  
1.107  0.994493  0.994499  0.994504  0.994509  0.994515  
1.108  0.994395  0.9944  0.994406  0.994411  0.994417  
1.109  0.994295  0.994301  0.994306  0.994312  0.994318  
1.11  0.994195  0.994201  0.994207  0.994212  0.994218  
1.111  0.994093  0.9941  0.994106  0.994112  0.994118  
1.112  0.993991  0.993998  0.994004  0.994011  0.994017  
1.113  0.993889  0.993895  0.993902  0.993908  0.993915  
1.114  0.993785  0.993792  0.993799  0.993805  0.993812  
1.115  0.993681  0.993688  0.993695  0.993702  0.993709  
1.116  0.993575  0.993583  0.99359  0.993597  0.993604  
1.117  0.993469  0.993477  0.993484  0.993492  0.993499  
1.118  0.993362  0.99337  0.993378  0.993386  0.993393  
1.119  0.993255  0.993263  0.993271  0.993279  0.993287  
1.12  0.993146  0.993155  0.993163  0.993171  0.993179  
1.121  0.993037  0.993045  0.993054  0.993063  0.993071  
1.122  0.992927  0.992936  0.992944  0.992953  0.992962  
1.123  0.992816  0.992825  0.992834  0.992843  0.992852  
1.124  0.992704  0.992714  0.992723  0.992732  0.992742  
1.125  0.992592  0.992601  0.992611  0.992621  0.99263  
1.126  0.992478  0.992488  0.992498  0.992508  0.992518  
1.127  0.992364  0.992375  0.992385  0.992395  0.992405  
1.128  0.992249  0.99226  0.992271  0.992281  0.992292  
1.129  0.992134  0.992145  0.992156  0.992166  0.992177  
1.13  0.992017  0.992028  0.99204  0.992051  0.992062  
1.131  0.9919  0.991911  0.991923  0.991935  0.991946  
1.132  0.991782  0.991794  0.991806  0.991818  0.991829  
1.133  0.991663  0.991675  0.991687  0.9917  0.991712  
1.134  0.991543  0.991556  0.991569  0.991581  0.991594  
1.135  0.991423  0.991436  0.991449  0.991462  0.991475  
1.136  0.991301  0.991315  0.991328  0.991342  0.991355  
1.137  0.991179  0.991193  0.991207  0.991221  0.991234  
1.138  0.991057  0.991071  0.991085  0.991099  0.991113  
1.139  0.990933  0.990948  0.990962  0.990977  0.990991  
1.14  0.990809  0.990824  0.990839  0.990854  0.990868  
1.141  0.990683  0.990699  0.990714  0.99073  0.990745  
1.142  0.990557  0.990573  0.990589  0.990605  0.990621  
1.143  0.990431  0.990447  0.990463  0.99048  0.990496  
1.144  0.990303  0.99032  0.990337  0.990353  0.99037  
1.145  0.990175  0.990192  0.990209  0.990226  0.990243  
1.146  0.990046  0.990064  0.990081  0.990099  0.990116  
1.147  0.989916  0.989934  0.989952  0.98997  0.989988  
1.148  0.989785  0.989804  0.989823  0.989841  0.989859  
1.149  0.989654  0.989673  0.989692  0.989711  0.98973  
1.15  0.989522  0.989542  0.989561  0.989581  0.9896  
1.151  0.989389  0.989409  0.989429  0.989449  0.989469  
1.152  0.989255  0.989276  0.989297  0.989317  0.989337  
1.153  0.989121  0.989142  0.989163  0.989184  0.989205  
1.154  0.988986  0.989007  0.989029  0.98905  0.989072  
1.155  0.98885  0.988872  0.988894  0.988916  0.988938  
1.156  0.988713  0.988736  0.988758  0.988781  0.988803  
