0 0.999938 0 0 0
0.01 0.999922 0.0033333 6.66662e-06 9.52376e-09
0.02 0.999872 0.0066664 2.66659e-05 7.61888e-08
0.03 0.999788 0.0099991 5.99961e-05 2.5713e-07
0.04 0.999672 0.0133312 0.000106654 6.0947e-07
0.05 0.999522 0.0166625 0.000166637 1.19031e-06
0.06 0.999339 0.0199928 0.000239938 2.05673e-06
0.07 0.999122 0.0233219 0.000326552 3.26578e-06
0.08 0.998872 0.0266496 0.000426472 4.87446e-06
0.09 0.998589 0.0299757 0.000539688 6.93973e-06
0.1 0.998273 0.0333 0.000666191 9.51852e-06
0.11 0.997923 0.0366223 0.00080597 1.26677e-05
0.12 0.99754 0.0399424 0.000959013 1.6444e-05
0.13 0.997125 0.0432601 0.00112531 2.09042e-05
0.14 0.996675 0.0465753 0.00130484 2.61049e-05
0.15 0.996193 0.0498876 0.00149759 3.21027e-05
0.16 0.995678 0.0531969 0.00170355 3.89541e-05
0.17 0.995129 0.0565031 0.00192269 4.67154e-05
0.18 0.994548 0.0598058 0.00215501 5.5443e-05
0.19 0.993934 0.063105 0.00240047 6.51929e-05
0.2 0.993286 0.0664004 0.00265906 7.60213e-05
0.21 0.992606 0.0696918 0.00293075 8.79841e-05
0.22 0.991893 0.072979 0.00321553 0.000101137
0.23 0.991147 0.0762619 0.00351336 0.000115536
0.24 0.990368 0.0795401 0.00382423 0.000131236
0.25 0.989556 0.0828137 0.0041481 0.000148294
0.26 0.988712 0.0860822 0.00448495 0.000166763
0.27 0.987835 0.0893456 0.00483474 0.000186699
0.28 0.986925 0.0926036 0.00519746 0.000208158
0.29 0.985983 0.0958561 0.00557307 0.000231193
0.3 0.985008 0.0991029 0.00596152 0.00025586
0.31 0.984001 0.102344 0.00636281 0.000282212
0.32 0.982962 0.105578 0.00677688 0.000310305
0.33 0.98189 0.108807 0.0072037 0.000340192
0.34 0.980786 0.112029 0.00764324 0.000371926
0.35 0.97965 0.115244 0.00809545 0.000405562
0.36 0.978482 0.118452 0.00856031 0.000441153
0.37 0.977281 0.121653 0.00903776 0.000478752
0.38 0.976049 0.124847 0.00952777 0.000518412
0.39 0.974785 0.128033 0.0100303 0.000560186
0.4 0.973489 0.131212 0.0105453 0.000604125
0.41 0.972161 0.134383 0.0110727 0.000650284
0.42 0.970802 0.137546 0.0116125 0.000698713
0.43 0.969411 0.140701 0.0121647 0.000749464
0.44 0.967988 0.143847 0.0127291 0.000802589
0.45 0.966535 0.146984 0.0133058 0.000858139
0.46 0.965049 0.150113 0.0138947 0.000916164
0.47 0.963533 0.153233 0.0144957 0.000976717
0.48 0.961985 0.156344 0.0151088 0.00103985
0.49 0.960407 0.159445 0.015734 0.0011056
0.5 0.958797 0.162537 0.0163711 0.00117404
0.51 0.957156 0.165619 0.0170202 0.0012452
0.52 0.955485 0.168691 0.0176811 0.00131913
0.53 0.953783 0.171754 0.0183538 0.00139589
