-3.14159  1.22465e-16
-3.14149  0.0001
-3.14139  0.0002
-3.14129  0.0003
-3.14119  0.0004
-3.14109  0.0005
-3.14099  0.0006
-3.14089  0.0007
-3.14079  0.0008
-3.14069  0.0009
-3.14059  0.001
-3.14049  0.0011
-3.14039  0.0012
-3.14029  0.0013
-3.14019  0.0014
-3.14009  0.0015
-3.13999  0.0016
-3.13989  0.0017
-3.13979  0.0018
-3.13969  0.0019
-3.13959  0.002
-3.13949  0.0021
-3.13939  0.0022
-3.13929  0.0023
-3.13919  0.0024
-3.13909  0.00250001
-3.13899  0.00260001
-3.13889  0.00270001
-3.13879  0.00280001
-3.13869  0.00290001
-3.13859  0.00300001
-3.13849  0.00310001
-3.13839  0.00320001
-3.13829  0.00330001
-3.13819  0.00340001
-3.13809  0.00350001
-3.13799  0.00360002
-3.13789  0.00370002
-3.13779  0.00380002
-3.13769  0.00390002
-3.13759  0.00400002
-3.13749  0.00410002
-3.13739  0.00420002
-3.13729  0.00430003
-3.13719  0.00440003
-3.13709  0.00450003
-3.13699  0.00460003
-3.13689  0.00470003
-3.13679  0.00480004
-3.13669  0.00490004
-3.13659  0.00500004
-3.13649  0.00510004
-3.13639  0.00520005
-3.13629  0.00530005
-3.13619  0.00540005
-3.13609  0.00550006
-3.13599  0.00560006
-3.13589  0.00570006
-3.13579  0.00580007
-3.13569  0.00590007
-3.13559  0.00600007
-3.13549  0.00610008
-3.13539  0.00620008
-3.13529  0.00630008
-3.13519  0.00640009
-3.13509  0.00650009
-3.13499  0.0066001
-3.13489  0.0067001
-3.13479  0.0068001
-3.13469  0.00690011
-3.13459  0.00700011
-3.13449  0.00710012
-3.13439  0.00720012
-3.13429  0.00730013
-3.13419  0.00740014
-3.13409  0.00750014
-3.13399  0.00760015
-3.13389  0.00770015
-3.13379  0.00780016
-3.13369  0.00790016
-3.13359  0.00800017
-3.13349  0.00810018
-3.13339  0.00820018
-3.13329  0.00830019
-3.13319  0.0084002
-3.13309  0.0085002
-3.13299  0.00860021
-3.13289  0.00870022
-3.13279  0.00880023
-3.13269  0.00890023
-3.13259  0.00900024
-3.13249  0.00910025
-3.13239  0.00920026
-3.13229  0.00930027
-3.13219  0.00940028
-3.13209  0.00950029
-3.13199  0.00960029
-3.13189  0.0097003
-3.13179  0.00980031
-3.13169  0.00990032
-3.13159  0.0100003
-3.13149  0.0101003
-3.13139  0.0102004
-3.13129  0.0103004
-3.13119  0.0104004
-3.13109  0.0105004
-3.13099  0.0106004
-3.13089  0.0107004
-3.13079  0.0108004
-3.13069  0.0109004
-3.13059  0.0110004
-3.13049  0.0111005
-3.13039  0.0112005
-3.13029  0.0113005
-3.13019  0.0114005
-3.13009  0.0115005
-3.12999  0.0116005
-3.12989  0.0117005
-3.12979  0.0118005
-3.12969  0.0119006
-3.12959  0.0120006
-3.12949  0.0121006
-3.12939  0.0122006
-3.12929  0.0123006
-3.12919  0.0124006
-3.12909  0.0125007
-3.12899  0.0126007
-3.12889  0.0127007
-3.12879  0.0128007
-3.12869  0.0129007
-3.12859  0.0130007
-3.12849  0.0131007
-3.12839  0.0132008
-3.12829  0.0133008
-3.12819  0.0134008
-3.12809  0.0135008
-3.12799  0.0136008
-3.12789  0.0137009
-3.12779  0.0138009
-3.12769  0.0139009
-3.12759  0.0140009
-3.12749  0.0141009
-3.12739  0.014201
-3.12729  0.014301
-3.12719  0.014401
-3.12709  0.014501
-3.12699  0.014601
-3.12689  0.0147011
-3.12679  0.0148011
-3.12669  0.0149011
-3.12659  0.0150011
-3.12649  0.0151011
-3.12639  0.0152012
-3.12629  0.0153012
-3.12619  0.0154012
-3.12609  0.0155012
-3.12599  0.0156013
-3.12589  0.0157013
-3.12579  0.0158013
-3.12569  0.0159013
-3.12559  0.0160014
-3.12549  0.0161014
-3.12539  0.0162014
-3.12529  0.0163014
-3.12519  0.0164015
-3.12509  0.0165015
-3.12499  0.0166015
-3.12489  0.0167016
-3.12479  0.0168016
-3.12469  0.0169016
-3.12459  0.0170016
-3.12449  0.0171017
-3.12439  0.0172017
-3.12429  0.0173017
-3.12419  0.0174018
-3.12409  0.0175018
-3.12399  0.0176018
-3.12389  0.0177018
-3.12379  0.0178019
-3.12369  0.0179019
-3.12359  0.0180019
-3.12349  0.018102
-3.12339  0.018202
-3.12329  0.018302
-3.12319  0.0184021
-3.12309  0.0185021
-3.12299  0.0186021
-3.12289  0.0187022
-3.12279  0.0188022
-3.12269  0.0189023
-3.12259  0.0190023
-3.12249  0.0191023
-3.12239  0.0192024
-3.12229  0.0193024
-3.12219  0.0194024
-3.12209  0.0195025
-3.12199  0.0196025
-3.12189  0.0197025
-3.12179  0.0198026
-3.12169  0.0199026
-3.12159  0.0200027
-3.12149  0.0201027
-3.12139  0.0202027
-3.12129  0.0203028
-3.12119  0.0204028
-3.12109  0.0205029
-3.12099  0.0206029
-3.12089  0.020703
-3.12079  0.020803
-3.12069  0.020903
-3.12059  0.0210031
-3.12049  0.0211031
-3.12039  0.0212032
-3.12029  0.0213032
-3.12019  0.0214033
-3.12009  0.0215033
-3.11999  0.0216034
-3.11989  0.0217034
-3.11979  0.0218035
-3.11969  0.0219035
-3.11959  0.0220036
-3.11949  0.0221036
-3.11939  0.0222036
-3.11929  0.0223037
-3.11919  0.0224037
-3.11909  0.0225038
-3.11899  0.0226038
-3.11889  0.0227039
-3.11879  0.022804
-3.11869  0.022904
-3.11859  0.0230041
-3.11849  0.0231041
-3.11839  0.0232042
-3.11829  0.0233042
-3.11819  0.0234043
-3.11809  0.0235043
