0.81 5.25677e-199  5.25677e-199 5.25677e-199 5.25677e-199
0.82 1.79302e-198  1.79302e-198 1.79302e-198 1.79302e-198
0.83 6.02547e-198  6.02547e-198 6.02547e-198 6.02547e-198
0.84 1.99569e-197  1.99569e-197 1.99569e-197 1.99569e-197
0.85 6.51686e-197  6.51686e-197 6.51686e-197 6.51686e-197
0.86 2.09881e-196  2.09881e-196 2.09881e-196 2.09881e-196
0.87 6.66859e-196  6.66859e-196 6.66859e-196 6.66859e-196
0.88 2.09102e-195  2.09102e-195 2.09102e-195 2.09102e-195
0.89 6.4725e-195  6.4725e-195 6.4725e-195 6.4725e-195
0.9 1.97835e-194  1.97835e-194 1.97835e-194 1.97835e-194
0.91 5.97272e-194  5.97272e-194 5.97272e-194 5.97272e-194
0.92 1.78154e-193  1.78154e-193 1.78154e-193 1.78154e-193
0.93 5.25156e-193  5.25156e-193 5.25156e-193 5.25156e-193
0.94 1.53024e-192  1.53024e-192 1.53024e-192 1.53024e-192
0.95 4.40873e-192  4.40873e-192 4.40873e-192 4.40873e-192
0.96 1.25619e-191  1.25619e-191 1.25619e-191 1.25619e-191
0.97 3.54067e-191  3.54067e-191 3.54067e-191 3.54067e-191
0.98 9.87413e-191  9.87413e-191 9.87413e-191 9.87413e-191
0.99 2.72514e-190  2.72514e-190 2.72514e-190 2.72514e-190
1 7.44473e-190  7.44473e-190 7.44473e-190 7.44473e-190
1.01 2.01356e-189  2.01356e-189 2.01356e-189 2.01356e-189
1.02 5.39291e-189  5.39291e-189 5.39291e-189 5.39291e-189
1.03 1.43056e-188  1.43056e-188 1.43056e-188 1.43056e-188
1.04 3.7592e-188  3.7592e-188 3.7592e-188 3.7592e-188
1.05 9.78744e-188  9.78744e-188 9.78744e-188 9.78744e-188
1.06 2.52524e-187  2.52524e-187 2.52524e-187 2.52524e-187
1.07 6.45761e-187  6.45761e-187 6.45761e-187 6.45761e-187
1.08 1.63699e-186  1.63699e-186 1.63699e-186 1.63699e-186
1.09 4.11431e-186  4.11431e-186 4.11431e-186 4.11431e-186
1.1 1.0254e-185  1.0254e-185 1.0254e-185 1.0254e-185
1.11 2.53454e-185  2.53454e-185 2.53454e-185 2.53454e-185
1.12 6.21411e-185  6.21411e-185 6.21411e-185 6.21411e-185
1.13 1.51146e-184  1.51146e-184 1.51146e-184 1.51146e-184
1.14 3.64765e-184  3.64765e-184 3.64765e-184 3.64765e-184
1.15 8.7355e-184  8.7355e-184 8.7355e-184 8.7355e-184
1.16 2.07624e-183  2.07624e-183 2.07624e-183 2.07624e-183
1.17 4.89824e-183  4.89824e-183 4.89824e-183 4.89824e-183
1.18 1.14718e-182  1.14718e-182 1.14718e-182 1.14718e-182
1.19 2.66747e-182  2.66747e-182 2.66747e-182 2.66747e-182
1.2 6.15889e-182  6.15889e-182 6.15889e-182 6.15889e-182
1.21 1.41218e-181  1.41218e-181 1.41218e-181 1.41218e-181
1.22 3.21595e-181  3.21595e-181 3.21595e-181 3.21595e-181
1.23 7.27464e-181  7.27464e-181 7.27464e-181 7.27464e-181
1.24 1.63472e-180  1.63472e-180 1.63472e-180 1.63472e-180
1.25 3.64963e-180  3.64963e-180 3.64963e-180 3.64963e-180
1.26 8.09608e-180  8.09608e-180 8.09608e-180 8.09608e-180
1.27 1.7847e-179  1.7847e-179 1.7847e-179 1.7847e-179
1.28 3.90987e-179  3.90987e-179 3.90987e-179 3.90987e-179
1.29 8.51353e-179  8.51353e-179 8.51353e-179 8.51353e-179
1.3 1.84266e-178  1.84266e-178 1.84266e-178 1.84266e-178
1.31 3.96472e-178  3.96472e-178 3.96472e-178 3.96472e-178
1.32 8.48101e-178  8.48101e-178 8.48101e-178 8.48101e-178
1.33 1.80381e-177  1.80381e-177 1.80381e-177 1.80381e-177
1.34 3.81485e-177  3.81485e-177 3.81485e-177 3.81485e-177
1.35 8.02317e-177  8.02317e-177 8.02317e-177 8.02317e-177
1.36 1.67815e-176  1.67815e-176 1.67815e-176 1.67815e-176
1.37 3.49114e-176  3.49114e-176 3.49114e-176 3.49114e-176
1.38 7.2242e-176  7.2242e-176 7.2242e-176 7.2242e-176
1.39 1.48707e-175  1.48707e-175 1.48707e-175 1.48707e-175
1.4 3.04527e-175  3.04527e-175 3.04527e-175 3.04527e-175
1.41 6.20445e-175  6.20445e-175 6.20445e-175 6.20445e-175
1.42 1.25775e-174  1.25775e-174 1.25775e-174 1.25775e-174
1.43 2.53708e-174  2.53708e-174 2.53708e-174 2.53708e-174
1.44 5.09272e-174  5.09272e-174 5.09272e-174 5.09272e-174
1.45 1.01735e-173  1.01735e-173 1.01735e-173 1.01735e-173
1.46 2.02266e-173  2.02266e-173 2.02266e-173 2.02266e-173
1.47 4.00258e-173  4.00258e-173 4.00258e-173 4.00258e-173
1.48 7.88401e-173  7.88401e-173 7.88401e-173 7.88401e-173
1.49 1.54586e-172  1.54586e-172 1.54586e-172 1.54586e-172
1.5 3.01743e-172  3.01743e-172 3.01743e-172 3.01743e-172
1.51 5.86373e-172  5.86373e-172 5.86373e-172 5.86373e-172
1.52 1.1345e-171  1.1345e-171 1.1345e-171 1.1345e-171
1.53 2.18553e-171  2.18553e-171 2.18553e-171 2.18553e-171
1.54 4.19231e-171  4.19231e-171 4.19231e-171 4.19231e-171
1.55 8.00789e-171  8.00789e-171 8.00789e-171 8.00789e-171
1.56 1.52326e-170  1.52326e-170 1.52326e-170 1.52326e-170
1.57 2.88567e-170  2.88567e-170 2.88567e-170 2.88567e-170
1.58 5.44448e-170  5.44448e-170 5.44448e-170 5.44448e-170
1.59 1.02312e-169  1.02312e-169 1.02312e-169 1.02312e-169
1.6 1.91504e-169  1.91504e-169 1.91504e-169 1.91504e-169
1.61 3.57054e-169  3.57054e-169 3.57054e-169 3.57054e-169
1.62 6.63151e-169  6.63151e-169 6.63151e-169 6.63151e-169
1.63 1.22698e-168  1.22698e-168 1.22698e-168 1.22698e-168
1.64 2.26165e-168  2.26165e-168 2.26165e-168 2.26165e-168
1.65 4.15337e-168  4.15337e-168 4.15337e-168 4.15337e-168
1.66 7.5994e-168  7.5994e-168 7.5994e-168 7.5994e-168
1.67 1.38542e-167  1.38542e-167 1.38542e-167 1.38542e-167
1.68 2.51668e-167  2.51668e-167 2.51668e-167 2.51668e-167
1.69 4.55548e-167  4.55548e-167 4.55548e-167 4.55548e-167
1.7 8.21711e-167  8.21711e-167 8.21711e-167 8.21711e-167
1.71 1.47707e-166  1.47707e-166 1.47707e-166 1.47707e-166
1.72 2.64605e-166  2.64605e-166 2.64605e-166 2.64605e-166
1.73 4.72419e-166  4.72419e-166 4.72419e-166 4.72419e-166
1.74 8.4063e-166  8.4063e-166 8.4063e-166 8.4063e-166
