-280 	 2 	 0.000020 
-276 	 2 	 0.000020 
-272 	 1 	 0.000010 
-270 	 2 	 0.000020 
-266 	 2 	 0.000020 
-264 	 3 	 0.000030 
-262 	 1 	 0.000010 
-260 	 3 	 0.000030 
-256 	 2 	 0.000020 
-254 	 2 	 0.000020 
-250 	 1 	 0.000010 
-248 	 1 	 0.000010 
-246 	 7 	 0.000070 
-244 	 4 	 0.000040 
-242 	 1 	 0.000010 
-240 	 4 	 0.000040 
-238 	 4 	 0.000040 
-236 	 4 	 0.000040 
-234 	 3 	 0.000030 
-232 	 5 	 0.000050 
-230 	 5 	 0.000050 
-228 	 5 	 0.000050 
-226 	 6 	 0.000060 
-224 	 6 	 0.000060 
-222 	 6 	 0.000060 
-220 	 7 	 0.000070 
-218 	 7 	 0.000070 
-216 	 10 	 0.000100 
-214 	 15 	 0.000150 
-212 	 6 	 0.000060 
-210 	 9 	 0.000090 
-208 	 8 	 0.000080 
-206 	 13 	 0.000130 
-204 	 20 	 0.000200 
-202 	 28 	 0.000280 
-200 	 24 	 0.000240 
-198 	 11 	 0.000110 
-196 	 19 	 0.000190 
-194 	 20 	 0.000200 
-192 	 31 	 0.000310 
-190 	 34 	 0.000340 
-188 	 31 	 0.000310 
-186 	 46 	 0.000460 
-184 	 34 	 0.000340 
-182 	 39 	 0.000390 
-180 	 56 	 0.000560 
-178 	 51 	 0.000510 
-176 	 55 	 0.000550 
-174 	 52 	 0.000520 
-172 	 62 	 0.000620 
-170 	 50 	 0.000500 
-168 	 77 	 0.000770 
-166 	 71 	 0.000710 
-164 	 76 	 0.000760 
-162 	 72 	 0.000720 
-160 	 85 	 0.000850 
-158 	 100 	 0.001000 
-156 	 88 	 0.000880 
-154 	 93 	 0.000930 
-152 	 128 	 0.001280 
-150 	 130 	 0.001300 
-148 	 135 	 0.001350 
-146 	 145 	 0.001450 
-144 	 144 	 0.001440 
-142 	 146 	 0.001460 
-140 	 157 	 0.001570 
-138 	 168 	 0.001680 
-136 	 170 	 0.001700 
-134 	 162 	 0.001620 
-132 	 225 	 0.002250 
-130 	 182 	 0.001820 
-128 	 213 	 0.002130 
-126 	 229 	 0.002290 
-124 	 222 	 0.002220 
-122 	 245 	 0.002450 
-120 	 276 	 0.002760 
-118 	 273 	 0.002730 
-116 	 301 	 0.003010 
-114 	 335 	 0.003350 
-112 	 320 	 0.003200 
-110 	 333 	 0.003330 
-108 	 382 	 0.003820 
-106 	 360 	 0.003600 
-104 	 435 	 0.004350 
-102 	 414 	 0.004140 
-100 	 428 	 0.004280 
-98 	 445 	 0.004450 
-96 	 396 	 0.003960 
-94 	 453 	 0.004530 
-92 	 446 	 0.004460 
-90 	 494 	 0.004940 
-88 	 497 	 0.004970 
-86 	 542 	 0.005420 
-84 	 506 	 0.005060 
-82 	 555 	 0.005550 
-80 	 608 	 0.006080 
-78 	 609 	 0.006090 
-76 	 643 	 0.006430 
-74 	 644 	 0.006440 
-72 	 708 	 0.007080 
-70 	 707 	 0.007070 
-68 	 719 	 0.007190 
-66 	 759 	 0.007590 
-64 	 780 	 0.007800 
-62 	 759 	 0.007590 
-60 	 719 	 0.007190 
-58 	 759 	 0.007590 
-56 	 809 	 0.008090 
-54 	 827 	 0.008270 
-52 	 839 	 0.008390 
-50 	 857 	 0.008570 
-48 	 874 	 0.008740 
-46 	 894 	 0.008940 
-44 	 911 	 0.009110 
-42 	 898 	 0.008980 
-40 	 957 	 0.009570 
-38 	 1023 	 0.010230 
-36 	 1032 	 0.010320 
-34 	 1027 	 0.010270 
-32 	 1003 	 0.010030 
-30 	 1046 	 0.010460 
-28 	 1035 	 0.010350 
-26 	 1051 	 0.010510 
-24 	 1064 	 0.010640 
-22 	 1037 	 0.010370 
-20 	 1066 	 0.010660 
-18 	 1107 	 0.011070 
-16 	 1100 	 0.011000 
-14 	 1091 	 0.010910 
-12 	 1143 	 0.011430 
-10 	 1148 	 0.011480 
-8 	 1081 	 0.010810 
-6 	 1186 	 0.011860 
-4 	 1131 	 0.011310 
-2 	 1178 	 0.011780 
0 	 1154 	 0.011540 
2 	 1104 	 0.011040 
4 	 1162 	 0.011620 
6 	 1069 	 0.010690 
8 	 1149 	 0.011490 
10 	 1085 	 0.010850 
12 	 1118 	 0.011180 
14 	 1112 	 0.011120 
16 	 1121 	 0.011210 
18 	 1115 	 0.011150 
20 	 1088 	 0.010880 
22 	 1074 	 0.010740 
24 	 1041 	 0.010410 
26 	 1029 	 0.010290 
28 	 1039 	 0.010390 
30 	 1015 	 0.010150 
32 	 1075 	 0.010750 
34 	 998 	 0.009980 
36 	 990 	 0.009900 
38 	 972 	 0.009720 
40 	 975 	 0.009750 
42 	 958 	 0.009580 
44 	 919 	 0.009190 
46 	 947 	 0.009470 
48 	 859 	 0.008590 
50 	 937 	 0.009370 
52 	 837 	 0.008370 
54 	 847 	 0.008470 
56 	 867 	 0.008670 
58 	 815 	 0.008150 
60 	 766 	 0.007660 
62 	 777 	 0.007770 
64 	 754 	 0.007540 
66 	 728 	 0.007280 
68 	 738 	 0.007380 
70 	 708 	 0.007080 
72 	 682 	 0.006820 
74 	 645 	 0.006450 
76 	 632 	 0.006320 
78 	 596 	 0.005960 
80 	 607 	 0.006070 
82 	 594 	 0.005940 
84 	 522 	 0.005220 
86 	 535 	 0.005350 
88 	 512 	 0.005120 
90 	 519 	 0.005190 
92 	 492 	 0.004920 
94 	 443 	 0.004430 
96 	 453 	 0.004530 
98 	 413 	 0.004130 
100 	 415 	 0.004150 
102 	 400 	 0.004000 
104 	 392 	 0.003920 
106 	 347 	 0.003470 
108 	 372 	 0.003720 
110 	 315 	 0.003150 
112 	 323 	 0.003230 
114 	 306 	 0.003060 
116 	 297 	 0.002970 
118 	 303 	 0.003030 
120 	 273 	 0.002730 
122 	 259 	 0.002590 
124 	 265 	 0.002650 
126 	 216 	 0.002160 
128 	 241 	 0.002410 
130 	 203 	 0.002030 
132 	 204 	 0.002040 
134 	 188 	 0.001880 
136 	 176 	 0.001760 
138 	 177 	 0.001770 
140 	 181 	 0.001810 
142 	 167 	 0.001670 
