-133 0.0001
-127 0.0001
-115 0.0002
-109 0.0001
-103 0.0001
-101 0.0003
-99 0.0002
-97 0.0001
-95 0.0005
-93 0.0002
-91 0.0006
-89 0.0006
-87 0.0005
-85 0.0005
-83 0.0005
-81 0.0011
-79 0.0008
-77 0.0012
-75 0.0011
-73 0.0017
-71 0.0014
-69 0.0027
-67 0.0025
-65 0.0033
-63 0.003
-61 0.0041
-59 0.0046
-57 0.0041
-55 0.0054
-53 0.005
-51 0.0062
-49 0.0066
-47 0.0083
-45 0.0085
-43 0.0096
-41 0.0093
-39 0.0102
-37 0.0132
-35 0.0144
-33 0.0152
-31 0.0149
-29 0.0189
-27 0.0203
-25 0.019
-23 0.019
-21 0.0204
-19 0.0234
-17 0.0191
-15 0.0214
-13 0.0234
-11 0.0252
-9 0.0245
-7 0.0242
-5 0.0252
-3 0.026
-1 0.0243
0 0.0001
1 0.0266
3 0.0265
5 0.0231
7 0.0269
9 0.0231
11 0.0228
13 0.0226
15 0.0231
17 0.0239
19 0.0215
21 0.0186
23 0.0209
25 0.0179
27 0.0181
29 0.0181
31 0.0143
33 0.0153
35 0.0143
37 0.0124
39 0.0119
41 0.0103
43 0.0098
45 0.0074
47 0.008
49 0.0081
51 0.0078
53 0.0063
55 0.0045
57 0.0047
59 0.0046
61 0.0035
63 0.0039
65 0.0036
67 0.0022
69 0.0019
71 0.0024
73 0.0019
75 0.0021
77 0.0016
79 0.0011
81 0.0011
83 0.0003
85 0.0005
87 0.0005
89 0.0006
91 0.0001
93 0.0002
95 0.0001
97 0.0005
99 0.0002
101 0.0002
103 0.0002
109 0.0002
117 0.0001
119 0.0001
127 0.0001
129 0.0001
1001 419.897
