-139  1e-05
-115  1e-05
-113  1e-05
-107  2e-05
-106  1e-05
-103  1e-05
-101  1e-05
-99  3e-05
-98  1e-05
-97  2e-05
-96  2e-05
-95  1e-05
-94  5e-05
-93  3e-05
-92  4e-05
-91  4e-05
-90  4e-05
-89  6e-05
-88  3e-05
-87  3e-05
-86  5e-05
-85  4e-05
-84  7e-05
-83  0.00011
-82  7e-05
-81  0.00011
-80  0.00011
-79  0.00011
-78  0.00012
-77  0.00016
-76  0.00019
-75  0.00015
-74  0.0002
-73  0.00022
-72  0.00024
-71  0.00031
-70  0.00026
-69  0.00035
-68  0.00042
-67  0.00034
-66  0.00042
-65  0.00048
-64  0.00052
-63  0.00052
-62  0.0005
-61  0.00062
-60  0.00071
-59  0.00073
-58  0.00085
-57  0.00108
-56  0.00113
-55  0.00108
-54  0.00114
-53  0.00117
-52  0.00127
-51  0.00128
-50  0.00152
-49  0.00155
-48  0.00179
-47  0.00181
-46  0.00217
-45  0.00204
-44  0.00235
-43  0.00253
-42  0.00295
-41  0.00289
-40  0.00309
-39  0.00329
-38  0.00356
-37  0.00351
-36  0.00401
-35  0.00429
-34  0.00405
-33  0.00502
-32  0.0047
-31  0.00563
-30  0.00583
-29  0.00622
-28  0.00636
-27  0.00731
-26  0.00724
-25  0.00784
-24  0.00837
-23  0.00938
-22  0.00908
-21  0.00917
-20  0.01011
-19  0.01077
-18  0.01098
-17  0.01182
-16  0.01248
-15  0.01326
-14  0.01426
-13  0.01411
-12  0.01495
-11  0.01558
-10  0.01635
-9  0.01685
-8  0.01882
-7  0.0196
-6  0.01977
-5  0.02099
-4  0.0207
-3  0.02204
-2  0.02315
-1  0.02445
0  0.02419
1  0.02263
2  0.02319
3  0.02253
4  0.0206
5  0.02077
6  0.01956
7  0.01865
8  0.01804
9  0.01707
10  0.01659
11  0.01576
12  0.01489
13  0.01465
14  0.0142
15  0.01287
16  0.0124
17  0.01147
18  0.01107
19  0.01131
20  0.01079
21  0.01005
22  0.0094
23  0.00867
24  0.00805
25  0.00843
26  0.00717
27  0.00688
28  0.00657
29  0.00595
30  0.00633
31  0.00574
32  0.00544
33  0.00508
34  0.00432
35  0.00457
36  0.00361
37  0.0037
38  0.00355
39  0.00357
40  0.00325
41  0.00272
42  0.00283
43  0.00245
44  0.00225
45  0.00252
46  0.00201
47  0.00194
48  0.00176
49  0.00168
50  0.0016
51  0.00125
52  0.00134
53  0.00114
54  0.001
55  0.00101
56  0.00104
57  0.00079
58  0.00083
59  0.00077
60  0.00083
61  0.00062
62  0.00052
63  0.00045
64  0.00048
65  0.00045
66  0.00037
67  0.00031
68  0.00023
69  0.00027
70  0.00032
71  0.00026
72  0.00024
73  0.00017
74  0.00017
75  0.00019
76  0.00017
77  0.00013
78  7e-05
79  0.00012
80  0.00014
81  9e-05
82  6e-05
83  8e-05
84  7e-05
85  5e-05
86  2e-05
87  4e-05
88  5e-05
89  3e-05
90  3e-05
91  4e-05
92  3e-05
94  7e-05
95  2e-05
98  1e-05
99  2e-05
102  4e-05
103  1e-05
104  2e-05
114  1e-05
117  1e-05
