29.75  209  2218  5.34233  7.70436  3.17805
30  207  2193  5.33272  7.69303  3.04452
30.25  205  2158  5.32301  7.67694  3.3673
30.5  203  2134  5.31321  7.66575  2.94444
30.75  200  2108  5.29832  7.65349  3.17805
31  199  2080  5.2933  7.64012  3.09104
31.25  196  2053  5.27811  7.62706  3.29584
31.5  191  2033  5.25227  7.61727  2.89037
31.75  190  2005  5.24702  7.6034  3.2581
32  190  1983  5.24702  7.59237  3.2581
32.25  188  1956  5.23644  7.57866  3.29584
32.5  186  1936  5.22575  7.56838  2.70805
32.75  183  1913  5.20949  7.55643  3.09104
33  182  1894  5.20401  7.54645  3.04452
33.25  180  1871  5.19296  7.53423  2.83321
33.5  178  1855  5.18178  7.52564  3.04452
33.75  174  1826  5.15906  7.50988  2.83321
34  173  1803  5.15329  7.49721  3.17805
34.25  170  1778  5.1358  7.48324  2.94444
34.5  167  1751  5.11799  7.46794  3.29584
34.75  166  1726  5.11199  7.45356  3.04452
35  164  1704  5.09987  7.44073  3.04452
35.25  162  1680  5.0876  7.42655  2.94444
35.5  161  1654  5.0814  7.41095  2.89037
35.75  160  1635  5.07517  7.3994  3.17805
36  158  1616  5.0626  7.38771  2.89037
36.25  157  1600  5.05625  7.37776  3.04452
36.5  155  1584  5.04343  7.36771  3.21888
36.75  150  1559  5.01064  7.3518  2.83321
37  149  1541  5.00395  7.34019  2.94444
37.25  147  1526  4.99043  7.33041  2.99573
37.5  142  1501  4.95583  7.31389  3.09104
37.75  142  1482  4.95583  7.30115  2.83321
38  140  1462  4.94164  7.28756  3.17805
38.25  138  1444  4.92725  7.27517  2.94444
38.5  137  1424  4.91998  7.26123  3.04452
38.75  136  1408  4.91265  7.24993  2.77259
39  136  1389  4.91265  7.23634  2.30259
39.25  135  1375  4.90527  7.22621  2.48491
39.5  134  1357  4.89784  7.21303  3.09104
39.75  134  1345  4.89784  7.20415  2.3979
40  133  1323  4.89035  7.18766  2.63906
40.25  132  1304  4.8828  7.17319  2.56495
40.5  132  1287  4.8828  7.16007  2.94444
40.75  132  1270  4.8828  7.14677  2.99573
41  131  1253  4.8752  7.1333  2.63906
41.25  129  1233  4.85981  7.11721  2.3979
41.5  129  1218  4.85981  7.10497  2.56495
41.75  129  1203  4.85981  7.09257  2.56495
42  129  1184  4.85981  7.07665  2.63906
42.25  128  1169  4.85203  7.0639  2.56495
42.5  126  1161  4.83628  7.05704  2.94444
42.75  125  1142  4.82831  7.04054  2.30259
43  125  1126  4.82831  7.02643  2.83321
43.25  125  1111  4.82831  7.01302  2.48491
43.5  124  1096  4.82028  6.99942  2.3979
43.75  120  1080  4.78749  6.98472  3.13549
44  119  1065  4.77912  6.97073  2.3979
44.25  117  1050  4.76217  6.95655  2.07944
44.5  115  1042  4.74493  6.9489  2.56495
44.75  113  1033  4.72739  6.94022  2.89037
45  110  1016  4.70048  6.92363  2.70805
45.25  109  1011  4.69135  6.9187  2.30259
45.5  107  999  4.67283  6.90675  1.60944
45.75  107  985  4.67283  6.89264  2.3979
46  106  975  4.66344  6.88244  2.3979
46.25  106  963  4.66344  6.87005  2.19722
46.5  106  953  4.66344  6.85961  2.30259
46.75  105  940  4.65396  6.84588  2.07944
47  102  927  4.62497  6.83195  2.56495
47.25  101  916  4.61512  6.82002  2.30259
47.5  101  903  4.61512  6.80572  2.30259
47.75  100  894  4.60517  6.79571  2.56495
48  100  887  4.60517  6.78784  2.56495
48.25  97  879  4.57471  6.77878  2.3979
48.5  95  867  4.55388  6.76504  2.56495
48.75  94  855  4.54329  6.7511  2.48491
49  94  845  4.54329  6.73934  2.19722
49.25  93  835  4.5326  6.72743  2.07944
49.5  90  819  4.49981  6.70808  2.48491
49.75  88  810  4.47734  6.69703  2.19722
50  86  793  4.45435  6.67582  2.30259
50.25  86  781  4.45435  6.66058  2.19722
50.5  85  772  4.44265  6.64898  1.38629
50.75  84  764  4.43082  6.63857  2.07944
51  83  751  4.41884  6.62141  2.07944
51.25  80  743  4.38203  6.6107  2.19722
51.5  79  736  4.36945  6.60123  2.56495
51.75  78  726  4.35671  6.58755  2.48491
52  77  719  4.34381  6.57786  2.48491
52.25  76  708  4.33073  6.56244  2.30259
52.5  75  695  4.31749  6.54391  1.79176
52.75  75  688  4.31749  6.53379  2.07944
53  74  685  4.30407  6.52942  2.63906
